Year,P_rz_fraction,P_rz,PPT,NIWR,ETpot,ETact,P_eft_fraction,P_eft
2018,0.9721878071910262,211.02491252028634,217.65294506373235,840.2740615075726,1064.6054112614345,1049.722270153941,0.7872647586379596,170.53461099889793
2019,0.8849907674306511,301.7820733036112,342.6676528632147,679.092233296524,994.915144899268,979.3092775264284,0.6878478423619286,234.51417254579212
2020,0.9986848608931412,89.37722563801292,89.57058976954119,888.8723407480429,1016.2486674963424,977.4499044291038,0.6553750482634597,58.71646935146109
2021,0.9588916814033556,243.1276073723875,253.24706324781175,774.1125716661926,1043.1051879845672,1017.2401790385801,0.706839528045049,179.7458625700623
2022,0.9496228199555664,212.47662003572563,224.59118031070884,840.8787086871938,1072.15484202676,1052.9190805719284,0.7494547015542781,167.9101706702195
