#  3 - Alfalfa Hay
Year,PMeto_mm,ETact,ETpot,ETbas,Kc,Kcb,PPT,Irrigation,Runoff,DPerc,P_rz,P_eft,P_rz_fraction,P_eft_fraction,NIWR,Season,Cutting
1979,1044.987553032675,992.793676506216,994.4100178762143,873.9331211825823,0.8606210145505601,0.5714141409882886,315.0000063476001,862.6784118143491,5.727508390694023,92.37459247054204,286.4740259629347,217.32930809001346,0.9094413339370312,0.6899342974939252,706.3196505432815, 191,  2
1980,1006.4260967526733,898.3443209661247,908.4787012802929,785.0779181401946,0.8083043720985531,0.5264198127033566,264.60000273640003,673.3021840996705,3.215614957968016,106.33532838764097,222.3792778007581,151.28906752954373,0.8404356594897578,0.5717651774942006,675.9650431653672, 179,  2
1981,1021.4269372205765,899.0377269074412,909.5690966970681,778.2390536349042,0.8083075127444069,0.4988730587079605,380.90000757570016,683.1167573770618,17.821098364434505,212.80675635289603,224.00356854515076,148.88478516206544,0.5880902181411278,0.39087629876845315,680.4538983113658, 168,  2
1982,959.1081721268062,815.831590440016,826.5208469346793,685.2528100625126,0.792997343622153,0.4616562940268142,329.8000072242001,577.4330385130501,2.569649537285551,148.35586273907506,236.61779879914448,154.21153742698982,0.7174584403155887,0.467591067462154,579.213791640872, 168,  2
1983,951.5039033940374,839.9832962717912,849.7136556796374,674.5658432548025,0.8618419129262883,0.45435689869328716,447.10000669969986,516.5505232424673,9.33275124629733,164.50557381579418,324.9167339618553,206.0877490828995,0.726720485558144,0.4609432923165238,515.066562309936, 154,  2
1984,939.0962009217776,831.4734445880988,842.9242268883542,686.2959205522311,0.8149771657421067,0.4381295907811398,296.00000548400004,535.4260032549221,2.181988101782737,68.40289655632434,278.9577211513852,182.1722154674633,0.9424247161592163,0.6154466624741681,552.5157234367134, 141,  2
1985,989.064078210419,807.918720242717,828.2948518529446,732.2419609806685,0.6898393440201812,0.4511291808327178,196.20000287859997,657.5001570509415,1.9439590708057044,93.62126873787147,166.82866800514574,118.14951357724765,0.850299008957569,0.6021891531283688,645.1941131839496, 154,  2
1986,1036.7768652947811,928.2106651694055,934.6405057147374,834.2969026256726,0.7862290740814111,0.5424342416008553,247.70000398199986,723.3370885964816,13.101168808222607,137.14583084176073,169.7867131916648,108.66344938482541,0.6854530095364999,0.4386897361241944,758.4239519777401, 186,  2
1987,1069.4689240577798,855.2339879561563,873.2386508845038,762.2701670683499,0.710223397517306,0.4710208132759828,248.70000466699992,658.4888851043083,2.296789381263232,79.09924690983037,229.26711671108552,165.74573833557642,0.9218621327251911,0.6664484729604401,625.9668712450704, 153,  2
1988,1089.6735695035175,835.4337795900908,863.6306555774873,764.7845909318092,0.7010483708585935,0.45050774508222796,214.3000047511,676.2261734130957,0.41733164100236575,121.5590853251964,159.94620512621083,97.5141260361016,0.7463658496507328,0.4550355757078025,675.4875744638802, 150,  2
1989,1022.633296993654,874.5731245473528,888.6327662242431,778.0861793196843,0.7338147146664965,0.49847616442915993,250.40000394010002,616.2711784667044,4.796088810174981,105.05643373736577,202.1745992392297,137.52232513021437,0.8074065337778243,0.549210554977116,672.3985253081227, 170,  2
1990,1076.1658768089562,959.4618492960617,976.2768587961956,864.0180920592601,0.7709001777199158,0.5513351128210083,165.80000263460005,771.5384335821249,0.14841201304060464,65.24116909880621,165.65159062155948,103.57107596727263,0.9991048732769465,0.6246747546532238,793.8102586745025, 183,  2
1991,1043.813029325671,851.400470791625,869.8562445536586,741.3201177721595,0.7185865045486058,0.4638544469080287,241.30000472110004,691.4724523331015,0.6476038607457286,79.3807361690886,220.06343761127349,139.15896312443203,0.9119910207446027,0.576705181938455,631.3370331803513, 157,  2
1992,1101.9020642537446,930.3000509087356,947.9214176586449,815.6702525560214,0.7618960561278962,0.48585592461671073,250.6000037494999,668.5697933753222,0.691892285774413,69.58813001044912,247.17696079080864,167.57432765518053,0.986340610903929,0.6686924387387003,683.1230901179259, 163,  2
1993,950.8308869005019,781.2796407484412,799.060391899983,656.1210243707167,0.7443540414628275,0.4343980479942353,297.3000062710001,514.2761596915956,2.041962145987348,100.24362318343792,246.44203691073432,148.95542304234033,0.8289338436343427,0.5010273121439557,534.8376038377068, 135,  1
1994,1096.346654554647,858.5960222734292,883.886241039143,770.1259005628573,0.7072729410626629,0.45343171578756297,199.60000363030002,651.9854100402082,0.8348567032102827,57.65270876678269,198.76514692708975,137.44169852460246,0.9958173512623948,0.6885856514270038,659.8308753463396, 149,  2
1995,1016.778769226241,873.1030568402299,883.8750785413007,737.2654683206089,0.7729900023760007,0.4864382494520401,347.60000473320025,607.1053547909876,5.48697114550126,96.91831500762846,305.90525405916924,209.90335232099358,0.8800496257011453,0.6038646417226159,567.1978027810609, 175,  2
1996,1029.6149303146276,865.5297420445755,876.9830713031732,744.0296096880029,0.8037716291776902,0.47148309075688594,336.4000069501001,598.1376034728814,10.809862612827644,117.61604319557266,267.78786148898797,178.10904808324955,0.7960399998704825,0.529456136752308,597.7418805555873, 165,  2
1997,1010.6013511472048,861.3519066291295,878.1469022432258,776.4204575552733,0.7543954436510144,0.5211451245643547,241.50000494770003,672.5698692974667,5.80188314782562,116.7817919258436,186.1733168037774,121.44575255436182,0.770903987534475,0.5028809526553114,675.178589825352, 179,  2
1998,963.6258374484368,915.1942496543276,919.2011115088727,758.7363369228688,0.9286219879018158,0.5332064757879911,390.4000067115003,621.5028899861508,2.813123470842963,153.4370920432107,296.30008019606146,188.07933131045775,0.7589653563070319,0.4817605739680367,618.8941694582657, 177,  2
1999,1025.3098886565901,702.1770235336886,735.0729340945163,626.186661299942,0.6273051303540879,0.38832791310697634,179.4000022709,505.145601096158,2.793872744520192,95.22864900060068,131.89204063539498,67.65419007945655,0.735184163689327,0.3771136523025037,570.284982898294, 121,  1
2000,1048.028943612827,925.3056022624985,937.6206428773621,795.0531660329459,0.8440493545097478,0.4772315489159371,258.70000329699997,730.1379919109293,3.424763667715356,68.1834093291604,253.8156690089046,171.94607052296095,0.981119697619455,0.6646543035624111,671.4899332535938, 163,  2
2001,1046.736811246264,819.2202650481611,848.0111214978331,716.6277307178543,0.7221785923488058,0.4206308400575083,210.9000044467,582.8961062271667,2.807207842784077,65.40394289951038,200.97846432712223,123.02584552246316,0.9529561881916166,0.5833373301495356,618.241800721039, 131,  2
2002,1088.375142917335,827.4306507102824,856.0798655975148,763.9009719485528,0.5867694100401981,0.4441974941221697,145.10000246840002,710.2385958502849,2.00418830575426,62.347968006827685,143.09581416264578,89.25510313726782,0.9861875377556198,0.6151281986139584,684.3348365476365, 145,  2
2003,1080.979664127015,878.426747293925,899.7970476982948,772.168859185155,0.7318066348531136,0.45951227617913687,256.30000460189996,666.9002552505126,3.641504660138211,104.46275218219122,214.88577328462176,138.30447517661764,0.8384150192209119,0.5396194798803854,663.5409740093033, 157,  2
2004,1026.8354245407345,809.1366268219472,831.8559326642251,711.2402506474917,0.7241975115208468,0.43596320993263377,270.0000044113,577.1661580418836,8.2427602581372,91.60558587449414,227.86827408285703,156.3586854299196,0.8439565568885611,0.5791062328715122,581.26835273909, 144,  2
2005,1015.3220176304811,833.4633547562487,855.9591866350526,710.4569367166254,0.7083812905125132,0.43929529101209136,366.70000654470005,559.7663342959349,15.018877381373347,129.85854743540068,277.7992151575194,196.66663053484422,0.7575653400585806,0.536314772361126,555.6641395987293, 143,  2
2006,1066.9042000971258,880.2471134435698,898.9548800657095,734.3513527283486,0.7339965911983846,0.42632506511877705,259.9000050131,594.4251290869738,1.0267737643617578,88.1184135230606,230.197330634375,129.13547644815054,0.8857149911281154,0.49686600214433085,650.0497828091949, 139,  2
2007,1106.536899027478,964.7933706919985,979.2293106374522,860.1313199515008,0.7434083755682005,0.5027183057986975,200.50000312979998,772.6052403044558,2.2163032426492113,64.15909268808407,198.2836998871507,130.2643256309561,0.9889461186630781,0.6496973745512882,766.5096708048483, 170,  2
2008,1046.854443886874,728.5102839190736,766.7042906871754,653.4529790618853,0.6259079019785084,0.3816681865496522,191.8000024855,577.0929117496717,4.549465767266346,53.33169249359804,186.37864913759745,120.14418949335133,0.9717343416181009,0.6264034824631152,542.1316347814758, 111,  1
2009,1019.6506066946289,817.9777452271669,836.0957691829932,724.7081330168812,0.6821182539258928,0.4511550602220451,238.40000399969995,597.088696418461,1.9956847031804525,74.73697136597805,221.3762175723876,157.78931392517478,0.928591501083474,0.6618679164341514,596.6015276547791, 152,  2
2010,972.1380752218545,771.559544239055,793.031556443309,659.585685016221,0.7890573085915168,0.4247814935034684,337.0000048579001,505.7176730823754,15.230446994715313,107.28234570872087,265.0589794627013,186.49294110068584,0.7865251502725243,0.5533915086420332,506.50056477635377, 133,  1
2011,944.3788832341719,801.9322658254821,813.482148871868,667.5276953294327,0.6803605572825668,0.4301864094543605,276.5000043507,538.2250609993358,4.888076959571499,101.89091818198143,233.31869678297835,149.68727001465138,0.8438289081798622,0.5413644399976025,578.3887505164008, 145,  2
2012,1124.333553158681,991.0171595518964,1006.8584628356875,861.5384233352668,0.790290517882656,0.5199743118429889,251.30000469089993,752.1012125133159,3.7485519520367383,71.99842987199972,247.55145273886322,176.19718098878363,0.9850833590049175,0.7011427684034742,743.4657068130334, 170,  2
2013,1017.2046813831832,834.3546551259374,850.8806176953434,747.8865203769045,0.7216108785331072,0.4600908947584,193.50000432190004,640.1543320812651,0.5104661526565348,57.73898253058218,192.9895381692435,149.02125277405293,0.9973619320865371,0.7701356560496311,641.3651169566933, 150,  2
2014,1092.5255258661412,1033.0282071388563,1038.4769838298175,914.2943768322277,0.890910995046048,0.6083815332860869,291.80000364829993,824.1165194758181,10.332003697291631,129.58857689559792,234.29107500299227,170.75587294540827,0.802916628079889,0.5851811885212193,798.7371321358644, 214,  2
2015,1079.4941955319166,1001.1461581905243,1004.854719273835,913.4174315184483,0.85590856445982,0.6013349861356226,292.6000050609001,802.5508120751167,11.542898777599095,162.7168413754055,198.59534611540704,153.70122756792594,0.678726393302941,0.5252946852681545,802.5508120751173, 210,  2
2016,1050.3150242270988,961.1058802605698,968.159118639555,842.3281042729903,0.8747841570200694,0.5363265392664673,219.60000449459997,739.1613956010056,3.2437821161030236,97.40054930144086,192.87181263715667,123.39434257104571,0.8782869248160668,0.561905009314697,768.2340676234131, 179,  2
2017,1020.0758933877747,921.8350888491498,931.6448163863099,770.0852617491419,0.8270438503325005,0.4746608223465389,278.5000059906,663.6425698215602,12.049029142791577,101.45982941218458,231.35540441777988,146.87798923056437,0.8307195671140798,0.5273895370599088,690.4796844313703, 157,  2
2018,1071.7946893124135,906.4073008240957,918.6414766877456,803.5177638089958,0.7452718986991692,0.47982657372614956,191.10000377920008,761.2471914183415,2.213089833222976,63.88285173744241,188.88691394597714,130.7903871378793,0.9884192057066625,0.6844080824247212,717.5203868781188, 163,  2
