#  3 - Alfalfa Hay
Year,PMeto_mm,ETact,ETpot,ETbas,Kc,Kcb,PPT,Irrigation,Runoff,DPerc,P_rz,P_eft,P_rz_fraction,P_eft_fraction,NIWR,Season,Cutting
1979,1021.4142848470572,1005.6229225244538,1010.4117735788753,850.8499440610964,0.9518231122462236,0.5698128752870233,321.20000544209995,948.2971557960935,4.843057281756023,58.81444551665038,316.35694816034396,249.67877954542982,0.9849219887929641,0.7773311809312449,689.2659743641092, 191,  2
1980,979.5201855836845,904.8971300224978,918.3727103071415,760.734850596481,0.9071739358756444,0.5211454176370479,261.5000051563,667.5585130819366,4.082706545555567,58.577128792112376,257.41729861074447,194.9426427733699,0.9843873557741795,0.7454785427512768,647.4798314117531, 178,  2
1981,990.7761213987445,913.8444057239565,928.498457558159,763.1582846270081,0.8997019414678459,0.511675127195472,387.20000800490004,693.1645384751596,17.955415419386668,77.09864600373128,351.4016477393323,289.30520958342726,0.9075455590767583,0.7471725299648395,562.4427579846242, 174,  2
1982,931.4496102514389,807.8411692293855,826.571139559463,659.2417627845311,0.8780754196729088,0.4507093739473644,330.70000585960014,393.1028691136271,2.660024348187373,60.697577568639645,306.6526908541357,230.3206136841054,0.9272835966756111,0.6964638935685077,501.1884783752503, 155,  2
1983,924.9771474266179,858.6102952241484,864.2644728595917,659.6549929444684,0.9321153329370458,0.45470381760983586,452.3000043929001,589.0386642190217,11.606478065672903,118.6659084823527,380.9303725226751,268.28081195751327,0.842207315549287,0.5931479313550158,477.6799227014732, 153,  2
1984,915.6948386596805,859.6215592171109,875.4710433978713,676.0702695294437,0.9372401292077678,0.4420257915626472,295.10000428530003,591.173874033281,1.655141444848261,85.1116154194177,267.4506348243621,175.58718403360504,0.9063050862100064,0.5950090866954002,592.1709243927498, 140,  2
1985,965.1675026940857,833.1923372640748,849.4072789335602,732.624108286184,0.8285426454385506,0.46718939895032546,200.60000357049995,591.5131608921448,2.0371270501220557,61.44334708986569,196.27084551972666,157.0903131913379,0.9784189532715944,0.783102245240635,636.921491744349, 163,  2
1986,1014.7446157417656,930.1049211818721,932.8302753619853,814.9118954082502,0.8203194780715121,0.5389404697383577,248.10000464420006,599.5166528180004,14.362403349893917,68.50800609808914,225.1812604780171,173.23214064968917,0.9076229595438714,0.698235136666447,704.9236607038557, 186,  2
1987,1048.1366485996828,869.7445140274388,894.3124799000677,747.464250957031,0.8041811398053137,0.4698854608298579,250.20000377350004,661.3831669619167,2.937753530334408,55.4452349895123,247.26225024316562,194.2757835235356,0.9882583793524085,0.7764819368244644,622.4822637842727, 153,  2
1988,1063.9586465495065,847.5695519254361,874.1635612519397,748.0404717179948,0.7602941084069865,0.4489503338310847,219.0000045304,722.7640977215051,0.758309215081024,59.530767412303284,218.241695315319,166.25338161574086,0.996537400916009,0.759147845554783,629.3278566101171, 150,  2
1989,998.9250090636676,879.2684088849805,890.9360856752257,760.46924229076,0.7904526390321358,0.49660164834484727,251.70000496510005,593.1890576604521,6.460243471574845,84.910757525827,219.64790973374338,164.22130458293427,0.8726575502618646,0.6524485551984979,659.6204991512369, 170,  2
1990,1050.048338593634,936.5785292557822,951.0719509217919,842.5647506340063,0.7638872820749611,0.548357784752069,157.0000026824,757.804825957367,0.0,66.54829051042884,157.0000026824,111.53712767148174,1.0,0.7104275526486042,779.578526573382, 182,  2
1991,1019.3578501287868,854.9648406145734,878.5790963639257,722.8687219972782,0.7759003657970478,0.4590947325239928,233.9000042085,582.4178852016125,0.8996232467458704,57.112155526285505,233.00038096175416,161.4836274553684,0.9961538126098368,0.6903960006406021,621.9644596528188, 155,  2
1992,1079.088806476186,927.983267282204,967.8714755039456,797.6357497001103,0.7964314040876435,0.47983558850460684,250.90000563859988,846.7006223472779,0.760893128421577,110.23307792182332,222.57355883144822,155.30670928841576,0.8871006529670888,0.61899842884867,720.3704737492945, 162,  2
1993,924.684261938785,796.7039611419056,813.9729362758344,636.7682945945955,0.8364706765075107,0.43010213214926435,298.00000560290005,393.99587570275946,1.949060445648293,97.86098961107125,237.5895431164565,155.84831423089577,0.7972803310381694,0.5229809104049866,559.1144180254493, 134,  1
1994,1069.0799065890635,891.8030622207503,913.1797631432233,754.8938928370238,0.7876477942275986,0.4517772925866071,189.7000035354,866.4129583159929,0.7730102955474645,81.96614501333994,180.95471598283504,131.7430631102281,0.9538993811830215,0.6944810788347902,710.848346237915, 149,  2
1995,995.5081602969276,877.9343385686226,889.9465883506368,727.7334889469324,0.822952332460288,0.48514554409885663,344.7000045780001,591.9390126503653,7.191642859692029,104.81283623667596,291.8894267466686,207.75177663620846,0.8467926395998022,0.6027031444068274,586.0449118219542, 174,  2
1996,1006.97847336099,868.5017604440201,880.9353809332737,724.233599468161,0.8492119983793709,0.46453732172733136,340.7000060084,592.0821078249902,10.337671496439466,112.85971691875058,276.71082837570896,202.41509830260298,0.8121832212967047,0.5941153352888771,591.790932068311, 164,  2
1997,987.5036470912113,865.6728996332836,881.3693015446437,756.5921099398213,0.8260735323355943,0.5146953031622482,239.20000472720002,584.1338031340097,6.173014890740487,92.8229718342726,198.61739831558788,149.01228023618404,0.8303402775518532,0.6229610254653958,667.0555013176958, 178,  2
1998,940.7341258826341,901.6730178962409,911.3507462425077,737.397140702168,0.9599326694469154,0.5262268684567988,393.70000735010007,590.668229613854,2.0656695170916546,59.06650367466523,391.6343378330084,294.12259595564785,0.9947531890309192,0.7470728739258,510.0386800632327, 176,  2
1999,1001.531364881349,701.4450877260921,734.1947315146601,610.3342136031519,0.6872826102389682,0.3830177025593787,179.00000208620006,392.7427626248049,3.4138053599529057,76.3640824137841,138.49639057494346,87.74578548413152,0.7737228433564404,0.49019991319260575,562.9486971511486, 118,  1
2000,1025.4170748830725,954.1156361307153,964.5474696942599,776.352741604006,0.9081416387823561,0.47220436930813536,257.40000400020006,850.694536514812,3.853083358772901,68.24104982552879,253.54692064142716,178.1093012522083,0.9850307564145574,0.6919553165666223,700.5687154892884, 162,  2
2001,1022.135494953531,810.9434137190693,837.8302734520327,702.6489101231926,0.7671550244111771,0.4202081159920401,211.6000034512,591.0624553441703,1.017806061875774,59.10605577783265,210.58219738932422,150.1287127032317,0.9951899525270542,0.7094929596154519,600.3612163297449, 130,  2
2002,1063.2913443244263,809.5151531990136,837.5653798456643,745.5863769091965,0.6331326121273109,0.44072521056824865,147.0000016096,599.6643812660496,2.269682934328136,59.96626339641796,144.73031867527186,103.87002840762447,0.9845599802076471,0.7065988249679116,664.7848345237419, 143,  2
2003,1057.0531416276356,897.5877478839676,911.9414925115159,765.748571775875,0.7885682277659163,0.4642611296437151,255.20000568090003,733.4774188242661,2.5594853771005424,67.75166495569786,243.84011613704797,179.1146935861549,0.9554863272297244,0.7018600689614343,653.7476317469201, 160,  2
2004,1004.1929055667374,820.8234950030828,842.1943960633723,701.2623889223602,0.8084733457573315,0.4367420563413742,268.2000037729,591.8829024064481,7.117032744467388,92.31564686224829,227.95561440682914,174.91918597065066,0.849946350484961,0.6521968065248969,592.8678805962534, 144,  2
2005,995.3887563898581,872.8369669325386,891.8533413312066,703.8548766672793,0.8334663567572717,0.44059535451931037,371.7000062169999,589.9323491896303,18.896002436606864,127.90764276664217,283.8895959327139,212.24176061163044,0.763759997805806,0.5710028438571585,588.9473709998248, 142,  2
2006,1044.4156380483403,886.139539640212,907.5368495745406,720.709006398334,0.7828564281015884,0.42549574644191807,262.60000380950004,594.0426141585571,1.6993332392096585,85.39916916373991,234.90576282240616,142.42523673989592,0.8945383069865287,0.5423657070592298,651.2337768178055, 139,  2
2007,1083.6211030765876,968.8464859600487,981.3093378670522,840.7368266825964,0.8169152141369754,0.4983504832006454,205.1000035707,774.0286920933722,2.0575480941385234,72.51522661104589,203.04245547656146,148.88968001608802,0.989968073825853,0.7259369937785705,765.8040304834869, 169,  2
2008,1021.7860612572556,725.7423070835816,759.3948415300115,635.309094983472,0.6659594994597152,0.3779152421505101,191.40000286730003,591.9917296955172,3.810912331821385,64.2392026175772,182.5484505167659,131.3993802043719,0.9537536456743367,0.6865171276693904,543.1938565668161, 110,  1
2009,1000.1279905687248,806.1740130805964,846.3001171997761,689.492689033653,0.7288719299927566,0.43547513116538994,255.30000534639998,589.3333959447071,5.66383397242922,91.36124939874377,233.4156381871414,173.583782475642,0.9142798014063294,0.6799207945182667,588.9657515108989, 151,  2
2010,950.3713293891266,774.7929672025042,798.2276348148448,639.4141259842216,0.8387190280249474,0.4158958657537347,335.80000576380013,394.7618263638526,17.704587967343222,75.56484146916466,282.00675896367744,219.24989066126528,0.8398057001882229,0.6529180669981419,492.78620823882693, 129,  1
2011,923.8391083422779,836.9164699262783,849.4046616545143,652.062265538781,0.7761812342347467,0.4268264066764041,273.00000381530003,587.5907699589678,6.510854354799556,57.61660312214398,266.48914946050047,187.39673409313352,0.9761507169823905,0.6864349138248292,570.4273204657782, 143,  2
2012,1096.3144722866778,992.62230105508,1008.1548970010152,835.2303838163017,0.8598774914423017,0.5130380678565848,255.700003654,771.8690358596098,4.278124337453326,71.59920866405734,251.42187931654666,184.1671756787226,0.9832689703702849,0.7202470592371523,741.2004217385329, 168,  2
2013,992.5342670044647,835.0408801979503,856.6921264632457,726.4888199395645,0.8194484694807774,0.4572650074848419,195.90000382070005,594.2827996098945,0.3567628084424321,59.40972166286812,195.5432410122576,158.96905997166948,0.9981788524681756,0.8114806374234067,639.4976391856926, 148,  2
2014,1073.0813719754892,976.9428094861614,989.264787176589,820.6024224842632,0.8766749657905903,0.5084917558915253,295.3000049594,716.9460894310812,9.950559696717251,59.45636785010578,285.3494452626828,222.95730556048107,0.9663035572990077,0.7550196471928096,691.5933642234788, 174,  2
2015,1064.274512701678,1022.0011172514166,1025.9501934062946,901.2837795330393,0.9304525171667578,0.6006209065878262,337.4000076358,707.1394375747506,22.05963281160772,58.75577595746303,315.34037482419217,279.32006802471733,0.9346187542609077,0.8278602895771835,706.6607424272247, 210,  2
2016,1025.2641716122341,983.5059995447095,991.6017828336956,825.3354740008049,0.9612125095395905,0.5343579908242131,281.7000040417,791.0216981593346,6.908490997870619,104.4063550170747,249.48683769550908,175.3894111377555,0.8856472634575382,0.62261060923447,734.0191618491996, 179,  2
2017,1000.2333966126985,945.3850684807029,952.620444540409,751.5126673152304,0.9289459427256034,0.47142000260026595,313.6000058952,588.3541923956436,11.332381751265357,131.08238446430346,230.02065891919554,136.84031548526585,0.7334842302141559,0.4363530386252468,715.3644095615067, 156,  2
2018,1048.6424280490273,933.0734047694617,946.7282964003047,781.6805635049334,0.8238524061070267,0.474871525199428,232.70000526360008,863.0522714522024,2.5613740863122993,111.79464251296066,196.7458598712463,141.24124217327136,0.845491428538537,0.6069670776898985,736.3275448982156, 162,  2
2019,1017.7456274892586,973.4741579530776,976.9302451327331,781.1111020922322,0.91250764427913,0.5034468363889922,439.80000895290016,593.5415502323042,19.79219971842393,165.66872276166083,313.69324149604574,226.27572833091367,0.7132633813330376,0.5144968706791145,659.7809164570318, 167,  2
2020,1086.1283269385947,994.7215541844265,1005.9321068890597,875.2581063436093,0.8630028096776838,0.5634837213733873,229.80000561499995,793.2053699137072,1.5828011936124915,79.31984930162892,228.21720442138746,179.28015244727604,0.9931122665146307,0.7801573022919618,766.5043497630392, 193,  2
2021,1090.6062566227058,948.4751700586103,967.9256384044902,834.8133016855174,0.8402650209444862,0.5210937522528194,200.00000351679998,781.9781173496697,1.4395188421511467,78.19731616026797,198.56048467464885,154.247160641429,0.9928024059158068,0.7712357896457349,749.9146853839616, 173,  2
2022,1040.8495886212363,944.0194797383565,959.3573539206334,842.5940943409189,0.8122049100657514,0.5562145350856654,232.50000393370004,591.0603287018889,5.5568860480484545,64.70921120340867,221.33993955243184,168.84057594905462,0.951999723903443,0.7261960133007197,722.6795401859247, 185,  2
