#  3 - Alfalfa Hay
Year,PMeto_mm,ETact,ETpot,ETbas,Kc,Kcb,PPT,Irrigation,Runoff,DPerc,P_rz,P_eft,P_rz_fraction,P_eft_fraction,NIWR,Season,Cutting
1979,1036.9984002935375,1021.5007416286912,1025.3346319637692,875.2239598441754,0.9247755875880614,0.5856783444278328,319.30000543590023,962.7131887503684,3.150562524095278,69.87445095516819,316.1494429118049,246.10146085286559,0.9901329080161014,0.7707530744225768,705.3512987168865, 197,  2
1980,1010.2933832037239,960.8021608424338,972.5027709552293,809.1439497782494,0.9063082241312251,0.5491928517295308,277.2000038629,718.2731709322564,0.18237567417818284,71.82691927341314,277.01762818872186,204.0749105121776,0.9993420791066497,0.7362009656143828,683.7845326537115, 183,  2
1981,1021.5739142265207,958.4227008259938,966.1287861310292,816.5662889528963,0.8944872201592842,0.5610773275809942,396.7000063358001,571.9969927662476,3.9478250505780337,64.00146531656779,385.9504152452789,319.61493063356073,0.97290246806444,0.8056842085427443,572.4722855807152, 188,  2
1982,959.3886455095582,859.7927757202339,871.134457403006,698.505458273501,0.864168048892577,0.48394531453542233,324.80000546659994,574.7094144196187,0.10709876386572202,90.82781029176938,291.3360378529268,204.9483332693992,0.8969705447954053,0.6309985524014241,568.4567378673065, 173,  2
1983,949.7832882378475,907.9093345509215,910.4505654580224,687.1574117164929,0.9344787061696517,0.47390497063732195,454.9000085302002,569.6837912446099,1.7824927657317349,170.04732638603866,340.0385685028908,219.40007476703704,0.7475017852858891,0.4823039583488409,567.870766048031, 173,  2
1984,939.2950952024025,866.3519153539953,877.5507116222536,670.590512528426,0.895953458446085,0.4394384316371051,307.1000059844002,571.1317356636204,0.19897432013035035,72.23237740623551,291.7818278243963,191.0974722871194,0.9501199027629391,0.6222646322476028,574.5700875295986, 147,  2
1985,981.7974737690478,811.9630232879737,828.9973122044348,727.7354471349718,0.7454964475569229,0.469568348541391,200.80000388619996,571.9334489466509,0.07360917992209311,57.47038796633965,200.44935163460332,156.23099086014912,0.998253723880427,0.7780427681101562,611.5136716533707, 164,  2
1986,1031.259444171005,956.627320100963,959.7888281342238,840.4295963514927,0.8521829750825182,0.5644889678641318,261.60000535879993,718.5725389196035,3.027707717739907,85.5467593322105,244.88279220080994,181.18883978499676,0.9360962812861516,0.6926178748983033,711.7445279001532, 190,  2
1987,1056.2930517455213,878.0345018449179,900.6698940637662,756.9877964562698,0.7756787102027631,0.4782518571149126,254.90000438730004,566.5926883991276,0.2059898040232359,55.663366048244654,254.69401458327684,197.14530778270245,0.9991918799510485,0.7734221435443995,623.3404872616408, 156,  2
1988,1089.370807911778,866.921691448772,893.5841347931457,774.1579036834709,0.7394344391899631,0.46593046033906277,216.6000038091,668.7427904656333,0.0,58.121650311151306,216.6000038091,151.81013189407037,1.0,0.7008777895861347,650.3216876396716, 153,  2
