#  3 - Alfalfa Hay
Year,PMeto_mm,ETact,ETpot,ETbas,Kc,Kcb,PPT,Irrigation,Runoff,DPerc,P_rz,P_eft,P_rz_fraction,P_eft_fraction,NIWR,Season,Cutting
1979,1038.9996206721007,996.857759124405,1000.8745778408208,847.9284852636524,0.900697480248902,0.5624919959486644,310.0000055438,879.5076117725579,3.443100694971905,53.29830344511177,306.55690484882814,239.88618286942025,0.9888932237632319,0.7738263825144567,690.3008542755772, 187,  2
1980,1015.7073680824165,925.26617780762,937.7968843026238,781.581449721098,0.8531094995945646,0.5281231562710328,252.9000051321,719.0356203127996,1.8102658329350536,65.66441994992911,251.08973929916502,185.70443548310553,0.992841969963625,0.7342998486144929,674.1764385084551, 180,  2
1981,1019.8893838587557,914.6785782960674,929.5751771372878,759.1419325918104,0.8311546888044374,0.47431681977168216,376.4000052812001,669.8338809267566,16.09540221542352,152.89937866355373,274.38838006038844,194.8584406341925,0.7289808082106667,0.5176897925084195,640.2901982356792, 158,  2
1982,938.255969134951,805.4525130565089,822.7119793805966,666.2076879263507,0.8423074044267853,0.4589605954445153,318.7000054724001,513.5253520384757,0.7580896978427326,78.35720228844455,290.9372486899603,207.27127738842958,0.9128874919807803,0.65036483787064,514.5152643665481, 148,  2
1983,940.4067038544669,876.5145668574635,884.2940139289192,683.9861994836641,0.9143674639594395,0.47266216897569546,428.9000066528003,528.6890232686416,8.191865016334651,124.76158804643636,348.81545591689337,226.13280457833073,0.8132792037918145,0.5272389859424459,527.6991109405697, 154,  2
1984,937.5366244135284,862.594292290095,878.6528618933172,695.4772523533852,0.8856771418772297,0.4539639250672033,322.9000041781,528.3071845261934,7.358247170435856,81.50521329721737,297.9266344969808,198.35151371932224,0.9226591224590236,0.614281545843272,575.727030127029, 140,  2
1985,988.4737343319549,839.6758125448968,855.051424382829,759.4362337795912,0.7280368057270656,0.4856871146320549,195.5000034872,600.2068976657505,2.279624562384007,53.410665337326776,193.22037892481595,153.79824951427443,0.988339516512933,0.7866917993397585,646.4554336200804, 173,  2
1986,1029.7712195352,924.8433722711,929.378670047976,805.8915107309413,0.7787322567010148,0.5186868592572977,264.90000432740015,714.2549292772183,17.073862295828143,62.28579213848563,247.8261420315719,182.14824687958276,0.935546009751189,0.6876113397659998,677.0172302395285, 187,  2
1987,1084.971902877082,866.3484630144101,890.182667278716,752.2580408794988,0.7598944652560565,0.46642418349517367,261.00000575229996,598.9093947699133,0.835028522732487,53.63028843536747,260.1649772295675,198.66588305768602,0.996800657071537,0.7611719489624392,606.183485784843, 154,  2
1988,1079.6030148309083,843.9119597478189,871.4238693961165,767.9178308378736,0.7192494031182712,0.463942790895211,225.10000410709995,644.7522742912113,1.7740412115824584,57.733043538580766,223.3259628955175,164.94370225154566,0.9921188752589344,0.7327574377700472,620.5859968523014, 152,  2
1989,1001.6352441895255,880.4547367575768,892.3613449541904,752.1108224145166,0.7860702776691105,0.49374166993774526,257.4000061156001,526.4525997789194,2.0386183035103604,52.63231198994016,255.36138781208973,182.65900157987875,0.9920799601589955,0.7096309139085465,625.0933489454873, 169,  2
1990,1076.1409865184223,948.0829690404345,967.6956756839359,862.2543287339029,0.7404296064995222,0.5584084802773921,159.40000242029996,819.6825536147167,0.03073500231756954,66.81331881964785,159.36926741798237,109.20102746255867,0.9998071831753393,0.6850754441936675,788.7137016224522, 185,  2
1991,1037.8770250604236,841.3504536708318,869.2053757990592,739.3749614591891,0.7260198343980366,0.4744450524318297,249.10000395819998,595.0017353103025,1.3600698444304635,53.3105765262832,247.73993411376952,174.47773942008442,0.9945400649425173,0.7004325036035026,593.6105195570622, 160,  2
1992,1117.9925360802197,978.9453593278422,995.8996018338191,853.2844027852165,0.7875599099022533,0.5043164420623403,242.6000044346999,822.492365417499,0.7809278498024341,87.64072738295408,220.31394360796827,145.41213003104292,0.9081366017339446,0.5993904673245097,758.6314157198734, 172,  2
1993,947.0279729778825,841.9636335762286,857.1757513076,684.615306996787,0.8013110599417351,0.46370773167441626,323.9000046856002,529.5326778974293,4.3853945172134425,102.44935028615926,270.01852767197033,172.61960866391104,0.8336478041550788,0.5329410502215571,571.945105904258, 145,  1
1994,1100.4678277853689,952.3637077575952,970.4352728824045,846.6030617998377,0.791972109043308,0.5128614453627477,200.80000427389996,758.8744880650631,0.42363650190514823,66.46956284472847,200.37636777199484,149.16476956039008,0.9978902565095205,0.7428524222386113,751.9873399856001, 171,  2
1995,1009.3170973619914,897.100023391628,907.4423838208378,748.3171529072812,0.8408762423740948,0.5026902947415831,355.20000711099993,537.5167992483288,8.68827642149313,53.74962916823799,346.5117306895068,250.42744425203267,0.9755397628165642,0.7050322050634817,550.5882927021208, 185,  2
1996,1020.628758831286,965.5888962066259,975.7308153098671,819.7946867493995,0.9193462732361772,0.5369600903445142,315.1000062823001,733.4573238885318,4.150942364036756,108.86157311165012,267.7669438023179,183.4150039066969,0.8497840002022208,0.5820850531572959,697.8219524043076, 190,  2
