date_mean,nhm_id,area_sum,et_mean,et_reference_mean,et_reference_all_mean,pr_mean,pr_all_mean,et_fraction_mean,count_mean
2000-01-01,2831974,3021978502.8019557,5.774854346652227,34.15794993790568,31.74031995113332,18.184140995712486,27.604871375540643,5.249765839728545,7.0
2000-02-01,2649266,2827012147.7824745,3.0453135134117355,40.567397884968734,38.567065371724674,52.77963716124142,63.12336278835669,2.1447499246086354,3.0
2000-03-01,2831974,3021978502.8019557,8.343709961033051,72.3325462726779,69.75236629571899,18.493098048972918,27.944736119576923,3.374655444563538,5.0
2000-04-01,2740620,2924495325.292215,42.690489966449555,128.47576989953274,122.9383470384782,16.448683834627175,22.456216256110835,9.778516594387277,4.0
2000-05-01,2831974,3021978502.8019557,96.44699504339012,152.6007806347271,147.2775038365013,42.06619291827736,45.7684736208579,19.36551092688786,5.0
2000-06-01,2740620,2924495325.292215,136.36236022656195,187.60356716783272,182.7292847346366,7.740614194324435,8.767015063628456,21.674701647195402,8.0
2000-07-01,2831974,3021978502.8019557,159.61218054620107,204.1540120145239,200.70938441896672,1.2315911484553739,0.7480736294189833,24.17536553073915,6.0
2000-08-01,2831974,3021978502.8019557,135.0293190218067,174.66213004076985,170.25472990480583,36.28096755858956,33.41518608926278,24.055523958893684,7.0
2000-09-01,2740620,2924495325.292215,99.1430302002787,131.167505315141,126.23214936929459,5.6490707499749835,6.758183876827978,22.384832995721712,5.0
2000-10-01,2831974,3021978502.8019557,36.33730013700019,70.30930631163021,66.44427403742455,48.3709696276268,53.06138091687175,15.330218271010322,6.0
2000-11-01,2740620,2924495325.292215,10.363671476254645,29.40126212739866,29.463414657537633,7.543280716768592,11.143756098781905,10.513310092552741,5.0
2000-12-01,2831974,3021978502.8019557,5.560711143147237,27.117528521193222,27.68058764178712,3.064382703995814,9.29851801787242,6.327084028848996,5.0
2001-01-01,2831974,2948615263.692547,3.5760628668072902,18.860485045615334,20.947886863469726,11.879624018977195,23.560474256133993,5.832782727748086,4.0
2001-02-01,2557912,2663265399.4642363,4.9597110950905625,28.809239558614067,28.802466029548228,22.276962387168847,25.82813907539123,4.8091184664967255,2.0
2001-03-01,2831974,2948615263.692547,12.773783650416586,72.07429575751868,70.2351313221439,25.246576512182354,33.595373349693155,5.417404157972321,3.0
2001-04-01,2740620,2853498642.28311,28.98427068924564,97.4899224797453,94.59983968516977,28.592917174361716,41.14592724829902,8.56111110222323,6.0
2001-05-01,2831974,2948615263.692547,119.09095880186564,162.14445431842293,157.9976219908343,1.1844476947784643,1.807905519038393,22.26787876429983,8.0
2001-06-01,2740620,2853498642.28311,143.1551023887564,199.519943418356,193.51568626698648,0.2114464144833254,1.004505393648005,21.372293496190707,8.0
2001-07-01,2831974,2948615263.692547,132.23968057391653,189.06181168159983,186.70100841373653,21.105774688470724,22.12012386355169,21.596509411872294,6.0
2001-08-01,2831974,2948615263.692547,137.93369511874243,179.5588606691796,176.0615714368192,10.737021123695953,10.767991555152204,23.815590149139624,6.0
2001-09-01,2740620,2853498642.28311,102.53151795349567,134.63278804205694,132.2576931089191,8.083597616589344,8.976385732782475,22.585321639055966,7.0
2001-10-01,2831974,2948615263.692547,50.03977820833446,90.82947489687275,87.09365132096711,8.312199449901257,10.891370695434723,16.538814406358078,5.0
2001-11-01,2740620,2853498642.28311,14.444616753868404,40.352104911187375,39.04332836395349,29.213496295276062,37.63032047727909,10.672286943085325,5.0
2001-12-01,2831974,2948615263.692547,5.454614778134848,19.47290481748091,20.382306277722154,17.489739851970388,30.54201142497049,8.30051885257371,1.0
2002-01-01,2831974,3095087281.276292,4.175381660763779,22.904079654543693,22.61265909024657,7.124571220549237,16.685738182730617,5.525914050188179,4.0
2002-02-01,2557912,2795562705.668909,7.65314034885323,39.12293048201305,39.42025104680851,21.997420696454494,25.964720161606355,5.687205733330798,5.0
2002-03-01,2831974,3095087281.276292,12.987592933493342,72.53654817031969,70.3267978032032,7.271574520101112,14.868111987239722,5.596405595865595,4.0
2002-04-01,2740620,2995245756.073831,27.98672860902446,105.52401522912787,103.13440143380053,34.62178456959657,45.39860212377916,7.849455582753725,4.0
2002-05-01,2831974,3095087281.276292,67.19164342700593,147.36243076584378,143.94378938386188,13.315392956610607,15.970387227802624,13.718968224734772,6.0
2002-06-01,2740620,2995245756.073831,154.71624849175,188.77161736315904,183.9203177519267,5.131862609737037,5.211671170319194,24.48906798843314,6.0
2002-07-01,2831974,3095087281.276292,149.11858564731565,203.4285921487776,201.9372550074667,11.483667989750002,9.337707843525154,22.578582540411986,8.0
2002-08-01,2831974,3095087281.276292,128.62434434184473,180.50594411175172,177.08565198413817,2.6192046206499278,2.7395434643211747,22.163550826869425,8.0
2002-09-01,2740620,2995245756.073831,84.46920154574596,119.59378589132713,117.70821831762964,16.51407143025189,19.36643901187086,20.63486471444423,8.0
2002-10-01,2831974,3095087281.276292,26.64254541295959,73.60039165904581,70.50940309298818,6.760299069519461,10.633644745969308,10.996107330224719,8.0
2002-11-01,2740620,2995245756.073831,6.716491857485807,44.92084044419404,43.90968306014237,22.278469005741336,26.80829874819335,4.354131721840753,3.0
2002-12-01,2831974,3095087281.276292,5.401641690526013,26.51884276954904,25.76282470275756,6.383782260278505,14.48694983125265,6.270707583729537,4.0
2003-01-01,2831974,3060236683.2501287,5.0789767799330345,33.4699285024717,32.553975246704155,8.650056886188962,14.383053869294073,4.811203385182666,6.0
2003-02-01,2557912,2764084746.1614065,3.6705018986449627,36.60806680222187,35.87868957267226,12.984512250086121,20.53491993636115,2.7981367361589937,6.0
