year,month,pr
2019,2019,8.299278957
2019,2019,8.54415487
2019,2019,2.23447954
2019,2019,15.34405375
2019,2019,0.006695722
2019,2019,18.40415346
2019,2019,24.50258122
2020,2020,5.958291247
2020,2020,1.640755921
2020,2020,10.18833843
2020,2020,9.136268825
2020,2020,12.4753475
2020,2020,4.513299798
2020,2020,1.945501806
2020,2020,6.976146517
2020,2020,2.694285485
2020,2020,0
2020,2020,10.66833198
2020,2020,13.32728802
