ET Model,R2,MAE (%),RMSE (%),CV (%)
OpenET Ensemble,0.5998623996802024,12.10975227472942,15.3336454299875,20.441440165995793
SSEBop,0.4009823451844122,14.78059506886036,18.76119710511437,27.613629543636428
eeMETRIC,0.5479515463266418,12.777296581065414,16.297959299197057,22.580689816718248
PT-JPL,0.5084805975001907,13.162439228096739,16.994604729272073,17.474386279450613
SIMS,0.36324596009094323,13.60912652141531,19.343122821767853,21.150392953390604
geeSEBAL,0.4922909977672497,13.62062835513545,17.272220232420292,22.21457981784552
ALEXI/DisALEXI,0.43957794521424676,14.796059616342117,18.146728597963655,24.291228715410213
