annual_et_ensemble_mm,annual_et_ssebop_mm,annual_et_eemetric_mm,annual_et_sims_mm,annual_et_pt_jpl_mm,annual_et_geesebal_mm,annual_et_disalexi_mm,annual_gridmet_precip_mm,annual_gridmet_precip_eff_mm,annual_tmmx_K,annual_tmmn_K,annual_eto_mm,annual_etr_mm,annual_vpd_kPa,annual_vs_mps,annual_rmax,annual_rmin,annual_daymet_precip_mm,annual_daymet_precip_eff_mm,annual_ndvi,eff_factor,soil_depth_mm,ksat_mean_micromps,elevation_m,annual_et_ssebop_m3,annual_et_eemetric_m3,annual_et_pt_jpl_m3,annual_et_sims_m3,annual_et_geesebal_m3,annual_et_disalexi_m3,annual_net_et_ensemble_mm,HSG_1.0,HSG_2.0,HSG_3.0,HSG_4.0,HSG_5.0,HSG_6.0,HSG_7.0,HSG_8.0,HSG_10.0,HSG_12.0,CV,RMSE,MAE
658.0234052452722,548.3655847483079,703.9028275939243,868.5545346926513,700.9656695584567,539.5070881259899,539.0070851811932,180.90000015497208,175.8687744715186,289.33331298828125,271.1000061035156,1280.0999996215105,1767.699999988079,370.6999991126359,3.081095933914185,85.625,22.185714721679688,0.0,245.51346448850623,0.7321458977786736,0.9721878071910262,1555.4314722923004,157.36135255980346,1796.8117732301275,252374.3594051598,323957.28349552565,322605.51489755086,399734.9585716883,248297.41243304734,248067.29601727764,482.1546307737534,True,False,False,False,False,False,False,False,False,False,26.335648254987827,27.916485739053957,22.697020447202675
574.1982962586537,553.1892912370427,576.968340354846,686.5391676866582,555.5172914993251,526.8017911687404,528.1342229070701,180.90000015497208,175.8687744715186,289.33331298828125,271.1000061035156,1280.0999996215105,1767.699999988079,370.6999991126359,3.081095933914185,85.625,22.185714721679688,0.0,244.2168457467666,0.7646625983685025,0.9721878071910262,1598.2419448144444,145.82899545724646,1799.11792055947,274437.73191053397,286234.5407249019,275592.6550480358,340592.73205803474,261346.86810631966,262007.8887551018,398.3295217871351,True,False,False,False,False,False,False,False,False,False,28.156163989064947,34.731874119462766,15.071424410572344
1126.6336843130505,1088.9666417588278,1144.2502196049622,1209.2879971925686,1126.437539087579,1100.6872829183826,1127.9977722431545,429.8669627810666,417.91141992999,578.7107895648154,542.7014562675081,2526.563743984876,3463.2998539645214,739.8310248073566,5.981312620883355,166.16315470577655,44.54304070772962,0.0,499.53235213227606,1.1388158113336484,1.9443756143820523,3041.0272150239557,111.23734447101704,3604.300294713079,522796.67305299407,548296.425976124,542869.8051726326,579731.3302546791,529342.7371040996,542258.0788742733,345.9369384191154,False,False,False,False,False,True,False,False,False,False,20.982021012587214,25.755672978437268,13.014062995956314
1468.1885657278601,1397.101375080717,1465.2578982951522,1666.6268542302964,1402.858631742766,1462.407211029166,1444.1507357672904,433.5999974012376,421.54063067154374,579.699951171875,543.1199951171874,2660.399994969368,3693.19999730587,801.1800025179982,6.225753307342529,154.5,40.28000259399414,0.0,477.7878468881296,1.470723941807352,1.9443756143820523,3039.6904106144257,188.01953642577035,3631.2480146018065,685737.3513664072,719603.3840346546,688585.1561040338,818357.2636169929,717893.9526064467,708860.4583550675,523.2749942208386,False,False,False,False,False,False,False,False,True,False,12.152365867853236,13.124888764714138,6.892733879602534
1625.6836331325453,1670.0335723960807,1609.2405150251457,1758.55252310671,1545.155932235526,1558.6373269750593,1655.6094926953047,353.2000024318695,343.3767358641043,579.239990234375,541.6499633789062,2588.0000012815,3575.799999028444,739.9999976232648,6.323287487030028,175.1999969482422,44.43999862670898,0.0,491.17681122195427,1.6751056465470957,1.9443756143820523,3050.5513832583847,315.0399772963557,3580.2521347873,797599.6464546736,769044.6828185564,738141.8481779371,840173.6102876645,744520.3350163312,790903.6302458902,641.6370444535343,False,False,False,False,False,True,False,False,False,False,26.35965322688361,35.759702519803504,17.983623847240253
1717.0929228289433,1675.263438989482,1716.395390735917,1983.3186951170628,1607.827950811337,1720.873780519646,1602.2440530929239,429.5130921223184,417.5673911902346,579.689310787128,543.1370275279362,2668.9143834031015,3708.142745277477,804.0280641598938,6.249197028978614,154.52128726545533,40.277163858869315,0.0,471.1111923469341,1.5565568172646018,1.9443756143820523,3023.7833798485717,205.8990390933106,3627.2984718062435,841378.2799133748,862518.9453525583,807975.9925112491,996860.654431488,863904.1908593525,804405.8396935473,649.4845710185808,False,False,False,True,False,False,False,False,False,False,29.374717778115,42.535479077809256,23.233378716955222
2218.6754921843753,2281.594512038824,2099.4677949276975,2558.6775233499043,2135.939472370493,2058.6996130746434,2289.314790232713,623.6807714922331,606.3348416242397,868.154511338963,812.8481635549397,3808.4449873567373,5231.762733699319,1107.2086029680895,9.072628478418517,257.418878692588,67.36149140951115,0.0,755.017736304397,2.437515685265433,2.9165634215730787,4600.568899896557,446.6896956133733,5370.847662080062,1189737.2865240767,1094893.4088234422,1113953.2351480909,1334320.5716494815,1073624.081509496,1193959.1091621171,537.7354315077486,False,False,False,False,False,False,True,False,False,False,19.902412543008424,24.4018536452207,20.100132199649057
1479.0762960706825,1446.515910945609,1614.2309057097245,1670.5440889030494,1412.5842962934998,1464.8992201264343,1283.1182199582286,414.39999854564667,402.8746258860568,579.6499633789062,543.2000122070312,2700.400004029274,3763.399995684624,814.5599994920194,6.335890293121338,154.60000610351562,40.26666641235352,0.0,467.2779417075841,1.3318036764428007,1.9443756143820523,3128.678136805911,288.03051596772065,3623.746531863908,666641.4477444593,744178.7236450964,651135.9096910532,769642.3513823609,675524.3474008193,591415.2139333857,537.0179107435796,False,False,False,False,False,True,False,False,False,False,21.51383293565046,23.44177177120709,18.87878186847385
1454.3450960996456,1344.7456527360168,1469.5363701305946,1715.1729251176346,1500.5071177916839,1293.6162132147006,1433.0399809365424,380.7322566548519,370.14325772417135,579.2283802001483,542.1783368217605,2616.421898890583,3626.3764653602666,769.4867726719058,6.233051227636608,163.15640989382587,42.278633770303735,0.0,478.0764840643244,1.5303481166288972,1.9443756143820523,3183.7271419734097,263.1426120933432,3608.7848060497745,663226.8115967102,725193.2089722035,739559.4740370098,845766.2774819309,637885.0723401236,706667.9761819897,542.8215151847905,False,True,False,False,False,False,False,False,False,False,9.693319074609764,9.649941666394504,5.024168417553516
1664.7057569726742,1573.073385335714,1745.4657147497496,1982.0989996889648,1605.8664824126915,1481.1882250976662,1575.76269987457,380.8755666343045,370.2825819388445,579.2291148596084,542.1791791359558,2616.2372495134714,3626.0967352481293,769.4724416687087,6.232269745200226,163.1564788601404,42.27840411037372,0.0,476.22012399099447,1.5134309473384975,1.9443756143820523,3180.715105322154,212.64353818867713,3610.182392318311,826099.1263232115,917416.1419805291,844020.6285366439,1041695.9754518472,777753.6838628172,827506.6824911825,646.3280057397288,False,False,False,False,False,True,False,False,False,False,22.396923182844883,27.719757304367207,14.058792171153133
1450.4609306959755,1462.7839441907017,1428.1723603382559,1651.6031627429406,1397.9927006051012,1422.9473427890366,1419.2104844063201,428.8850663171523,416.956832159848,578.7265369152951,542.682322484413,2527.46347334632,3465.173262860225,740.1761265320035,5.98366507530382,166.26175524882,44.494767508872826,0.0,499.42210260130753,1.6091881609487912,1.9443756143820523,3065.223537249304,128.513919427882,3584.736108832156,733306.9644680587,715970.3704625985,699271.1930245709,826379.6738049237,712993.6965684774,710936.7102992821,516.643734064365,False,False,False,False,False,False,False,True,False,False,13.009235610775493,13.3393381020767,6.0768260792513304
1467.6353826289953,1548.6453593813515,1497.6038332753533,830.3926476057266,1497.3666862564899,1387.1716312916003,1434.627741758067,367.4052717691835,357.1869255117041,579.1598901355542,542.1003737335275,2633.6022423404156,3652.400637857189,770.8184739634313,6.305795194448947,163.14867652947794,42.30042957641325,0.0,481.10813786570486,1.5721106261116922,1.9443756143820523,3039.729033185047,227.8131552781848,3621.2387305552347,714008.7501501963,688675.3946610433,687243.7696612198,412204.97393562866,639685.7155746481,664611.6698556836,559.0046196946099,False,True,False,False,False,False,False,False,False,False,17.56964480543423,20.39614494485607,17.13287123223361
1553.0507498592515,1499.9352395062547,1551.637556770544,1843.446461660873,1532.74118116905,1376.2762259863403,1563.0886863424723,363.6444072499881,353.53065888164997,579.025314161207,541.826736337618,2556.5111841261605,3526.331660242993,737.8802528084141,6.188300041788738,174.20874364523434,44.188453087888306,0.0,501.3146476908768,1.6436285153638241,1.9443756143820523,3154.3305476101305,311.8678060078298,3584.565777143277,762949.6992844185,788913.7730005336,779755.5638014928,937772.2586320271,700024.3920548707,795050.8757755988,599.4751966398857,False,True,False,False,False,False,False,False,False,False,8.314509478303883,8.549547507997035,4.411381260516311
822.3946208042008,790.8626644164053,795.037268611535,965.852169439204,790.6373489780067,845.9695303919212,769.3221570360846,235.0829779484036,228.54480483959304,289.74391795843616,272.1825930630067,1342.4531954451872,1864.4727521974835,405.4671101357949,3.1502256312075616,74.87191165518473,20.162555569170976,0.0,233.338581737006,0.8608679106695589,0.9721878071910262,1511.737201956403,87.19576189070855,1824.818648545812,400614.1984064767,402728.85849670897,400500.0640974443,489255.73307291,428528.7705980534,389702.78042494407,593.849815964608,False,False,False,False,True,False,False,False,False,False,12.422280012622148,12.737283057950583,10.275626054431541
1625.5849880995802,1543.0610477005016,1618.986503891704,1936.8473680529557,1594.155819756779,1459.8180733031274,1607.7072516168455,388.2000017762184,377.40330847837424,579.2666625976562,542.2222290039062,2606.799997538328,3611.7999984025946,768.7399978861213,6.192328929901122,163.16000366210938,42.26666641235352,0.0,480.3459391670481,1.6783660993967113,1.9443756143820523,3167.8699728394295,274.1903716442836,3610.469917339322,782824.0157214255,821564.6126788808,809030.1067990833,982668.7861466788,740744.7904230824,815953.3326821139,624.154670495476,False,True,False,False,False,False,False,False,False,False,10.76687386709086,11.191184264280054,6.331169935435755
846.5913017454334,884.6429241717944,843.3442780113936,948.3406359132632,784.7109762963939,794.0427709834998,869.305488909067,182.0999990105629,177.03539872756718,289.5666809082031,270.8571472167969,1277.7000011056662,1761.800001963973,368.4099998828024,3.0980823040008545,87.55000305175781,22.06666755676269,0.0,250.4255949194543,0.8661162233016223,0.9721878071910262,1609.637599931988,153.8344728408342,1791.7230015270438,472235.91149530426,450190.0630742168,418890.71062047477,506238.7234123939,423872.1652272339,464048.5541747502,669.5559030178662,True,False,False,False,False,False,False,False,False,False,7.691024306595747,7.780737110070562,4.227749268401378
1493.244971240391,1502.3869313771731,1485.639202112115,1718.1755079882273,1398.9376507252805,1388.6545049875078,1540.93751477879,406.99999642372126,395.6804340499331,578.699951171875,541.75,2540.7999998629098,3491.200006604194,737.1399974115194,6.071780681610107,172.8000030517578,45.34285736083984,0.0,510.30765413701636,1.5294374474709094,1.9443756143820523,3124.50597545014,313.8350213352022,3572.924103651294,727813.4101142306,719962.2754396037,677528.6790579164,832511.4606133127,672678.8998247685,746248.0019264084,548.4379837696969,False,True,False,False,False,False,False,False,False,False,7.907325830657575,7.88467260149937,4.347829345089559
1585.944029707672,1592.2514800167878,1556.0104412524138,1805.0563685548013,1540.2959592692152,1462.5902698832183,1559.8391839887756,361.80000030994415,351.7375489430372,578.6666259765625,542.2000122070312,2560.199999243021,3535.399999976158,741.3999982252718,6.16219186782837,171.25,44.371429443359375,0.0,493.79504932062605,1.6080734998788389,1.9443756143820523,3159.6400418442013,279.60133072698676,3588.2847145628425,860517.8198062074,840245.7801316585,832759.8708134495,975230.8633400855,790709.7084340436,843046.6117194825,617.3615486786096,False,True,False,False,False,False,False,False,False,False,9.001773597154946,9.33677739071906,5.077283537713238
1655.0395714019373,1731.4062763497716,1658.747897842276,1708.9957535883104,1502.6440823131998,1617.0472483194721,1693.5601328592616,353.1759421885446,343.35334478890286,578.9810913823312,541.840640795888,2578.12186971595,3565.045205076973,743.2460857726144,6.239719752393489,172.49645006951144,43.82472350155311,0.0,490.63452833167156,1.6867611589738112,1.9443756143820523,3080.0892516299073,295.04328913396324,3588.783942609915,859454.1716059088,823230.4824868233,745853.7795288763,848005.4055446929,802712.5866177473,840741.269994596,655.3783757710951,False,True,False,False,False,False,False,False,False,False,19.389475511022237,26.904081589437613,15.509455678181771
