dri_field_,area_m2,annual_et_ensemble_mm,annual_et_ssebop_mm,annual_et_eemetric_mm,annual_et_sims_mm,annual_et_pt_jpl_mm,annual_et_geesebal_mm,annual_et_disalexi_mm,annual_gridmet_precip_mm,annual_gridmet_precip_eff_mm,annual_tmmx_K,annual_tmmn_K,annual_eto_mm,annual_etr_mm,annual_vpd_kPa,annual_vs_mps,annual_rmax,annual_rmin,annual_daymet_precip_mm,annual_daymet_precip_eff_mm,annual_ndvi,YEAR,eff_factor,HSG,soil_depth_mm,ksat_mean_micromps,elevation_m
11,522493.52348166535,784.2038485258374,796.0487517944413,723.2539529532489,927.7191550449068,746.113030364278,770.0162989681642,776.186684079873,215.58473353293772,209.58884935724845,289.36947266191834,271.1417828020279,1265.1825548013896,1735.2980285777317,368.7982462388893,3.001478147812403,84.5022302463861,22.35083085338293,,251.22992001712765,0.8541357848935887,2018,0.9721878071910262,5.0,1521.8795416539558,106.51171872718643,1789.987455568567
13,494108.2402537737,874.5376342316844,848.8442693079728,846.0611240909542,957.2196354220952,844.4847368016937,817.752366536137,869.4516491713015,174.5130346202753,169.65944445373594,289.5710246213438,270.8345540491787,1295.2248038685264,1792.4241765470056,372.3802160092049,3.14677212778792,86.39576344654962,21.82605352492429,,242.27015793164185,0.7819914550218603,2018,0.9721878071910262,1.0,1518.4741788443685,101.02500769860116,1796.0900390496463
14,505755.6720276143,710.5977946995788,698.2805287587431,604.2069581399327,814.4827691336694,731.6262539838721,718.0945006523925,744.2728925584478,214.2795298058184,208.319946207844,289.0502293336169,270.33564591746915,1270.652705315109,1746.1918983801222,365.8475864169373,3.0723901149020576,87.89260147154941,22.178986828599136,,277.7627943007471,0.8475437152032171,2018,0.9721878071910262,1.0,1577.2013667682377,150.2432063511409,1776.0067861325467
15,495243.7763902867,733.2401844042911,712.6054753217246,669.4669700015294,839.6360986706477,731.7007690795082,739.152013371496,733.7456411544932,232.699998408556,226.2281011861693,289.07501220703125,270.57501220703125,1265.8000015169382,1735.1000058352947,365.5999988950789,3.022465705871582,87.13333129882812,22.075000762939453,,278.574633433124,0.6148683853310212,2018,0.9721878071910262,1.0,1559.102832517251,157.12247214042728,1775.5578569048675
16,532670.3377676263,798.2099981708806,734.7589474432972,783.6198174945137,863.0276901186573,742.0037446142594,824.7970541012932,790.9632905861314,231.299999922514,224.86703972795337,289.1000061035156,270.6166687011719,1264.9999993890524,1732.3000010252,366.4699991401285,3.0024657249450684,86.19999694824219,22.299999237060547,,264.07797744669165,0.7347435845338782,2018,0.9721878071910262,5.0,1520.0,17.197354452400432,1789.1228969659396
17,488970.9255428614,831.0525913959456,810.9515081437554,785.1429859697267,952.9661082588298,783.0634571125087,827.044724263079,844.3394927856953,224.89991894385332,218.64495903546327,289.0645179907244,270.47365343489463,1267.854861035484,1739.7968268081745,365.7048389176979,3.04360601267182,87.45484145202397,22.119033278770612,,275.08973720999444,0.8582839441265675,2018,0.9721878071910262,1.0,1566.304093922396,156.30467877564433,1776.1610676255016
18,522551.72969409154,840.6734524734521,774.3890339290341,841.3019476819477,944.5993265993266,770.6814245014249,863.3213519813521,772.4919295519295,231.299999922514,224.86703972795337,289.1000061035156,270.6166687011719,1264.9999993890524,1732.3000010252,366.4699991401285,3.0024657249450684,86.19999694824219,22.299999237060547,,265.13160575039655,0.8162339816052386,2018,0.9721878071910262,5.0,1520.0,16.59287754661154,1787.9854083789166
19,511605.6456590738,718.6744904654068,686.9425331753055,693.358277423861,883.4488577733334,630.5696363944213,694.0875362441534,718.355261487016,225.05110339238396,218.7919387129611,289.0647213940758,270.4756180136066,1267.815032876742,1739.7057910319547,365.7028068639124,3.0431962622789164,87.44860980586861,22.11817982187273,,273.836135656134,0.8279328355884004,2018,0.9721878071910262,1.0,1561.6990656730432,156.21992250834717,1777.345052131548
20,499296.6337904927,759.3885076025548,783.6674159981362,690.8348509552625,813.1704552849055,722.2337860017658,773.5800529768321,814.5627407114498,214.4790086727072,208.5138771300264,289.0665060706773,270.35429439893187,1271.4152648157556,1747.481656934379,365.8714068259498,3.0756202155673824,87.93739148562582,22.178563230468757,,281.6716097301055,0.8241292303230751,2018,0.9721878071910262,1.0,1573.3363340011501,148.23698546981828,1775.3834450035483
21,498418.3863134924,727.1750421896276,654.1462447161217,738.6576752565292,904.226543380704,716.3744431240399,654.5059608111255,685.0366385040725,233.02745410884611,226.54644962538327,289.0806762491294,270.5759379875473,1266.621729645742,1736.4530766324265,365.6599294087795,3.02625738751552,87.199234238722,22.056774459029327,,283.43527532763056,0.8594271569905261,2018,0.9721878071910262,1.0,1537.9111650023478,157.6156372094063,1775.8626872151074
22,496116.7602497004,886.748779422205,873.6893342799412,931.7681339085802,982.8738323631492,803.9081808748838,845.0550434165259,872.1912402381089,201.7799292565716,196.1679869591052,289.53989539272214,271.1136230845407,1274.6654969664644,1755.4008612099392,374.0179067388281,3.0225845593183767,84.36171950073147,21.69878762856465,,248.9172922093677,0.831799931258222,2018,0.9721878071910262,1.0,1530.6905433953898,158.971092413683,1792.624885995622
23,498695.6004006252,773.6898362009929,782.7137049878806,728.9348499505445,877.5436647279446,765.4221601469513,728.3384237470515,784.2273675858395,180.90000015497208,175.8687744715186,289.33331298828125,271.1000061035156,1280.0999996215105,1767.699999988079,370.6999991126359,3.081095933914185,85.625,22.185714721679688,,246.43639121082035,0.7983422098266111,2018,0.9721878071910262,1.0,1559.419130377676,157.10190208817346,1795.407417471928
24,498886.8414981245,928.9755202224248,971.9565793474958,928.7739693296844,955.9961876004692,824.9257624136585,914.455248924801,978.0338470394032,182.0999990105629,177.03539872756718,289.5666809082031,270.8571472167969,1277.7000011056662,1761.800001963973,368.4099998828024,3.0980823040008545,87.55000305175781,22.06666755676269,,250.130925173196,0.8548874544764914,2018,0.9721878071910262,1.0,1601.8356249741466,105.7247769551398,1791.5956664584971
25,510719.0119634139,809.0378318713214,882.8751320055827,775.1761524949715,771.4779785731728,697.0622429539532,803.554704705501,904.39471128588,180.90000015497208,175.8687744715186,289.33331298828125,271.1000061035156,1280.0999996215105,1767.699999988079,370.6999991126359,3.081095933914185,85.625,22.185714721679688,,248.6226757781241,0.8216242170455831,2018,0.9721878071910262,1.0,1586.9092910984396,137.06998969518148,1793.777203529678
26,507704.2287743484,658.4707295074531,695.426555586984,582.4866496240118,774.3989645602048,674.2518239020565,630.2525710748083,674.1183041313316,202.79999968409535,197.1596869912215,289.54998779296875,271.1142883300781,1274.3999991565945,1754.7999976873398,374.1800001747906,3.019726037979126,84.30000305175781,21.674999237060547,,249.73418985662147,0.7452490937162789,2018,0.9721878071910262,1.0,1542.6918396827455,138.24409231083598,1791.8966538742784
27,488843.750059504,729.6176390698186,707.5351700435153,690.1928933728759,864.4774128790393,740.6170348402115,702.4657834197176,708.2655949444277,214.33206947014125,208.3710246288904,289.3650400399691,271.3390086850561,1263.8329565344295,1732.7973905724166,370.12688732820254,2.9920971895797983,83.14197021926758,22.241953003034155,,249.22418615091627,0.8169313844253598,2018,0.9721878071910262,3.0,1528.3686614111705,54.09976176992284,1793.5769316052654
28,521585.1496169952,562.449107801669,504.03345873647663,557.3600542489842,762.8470969787378,595.2439073818111,493.00657327250224,541.2631751244506,201.5103252057297,195.90588118810743,289.53722797690864,271.11344726051243,1274.7356678910385,1755.5596691072406,373.97506553319033,3.0233400649302298,84.37803112412323,21.705074887306274,,247.9500578931544,0.7475572276342506,2018,0.9721878071910262,1.0,1570.964125008839,156.35073278107154,1794.1147977215076
29,512987.020842874,720.8432916261571,755.2487741471863,737.97946696538,787.1257498639012,657.3756657648896,720.481559369319,710.9448894618923,214.55299684701103,208.5858075309576,289.361496875326,271.3433137993569,1263.6305168118902,1732.375872287808,370.04923920380094,2.9915678857240224,83.11978502955242,22.252814505838668,,250.19791645039123,0.7922567765234314,2018,0.9721878071910262,5.0,1536.8548758381337,74.41415765795915,1791.1591772268907
30,472876.8977060344,846.6747608156055,818.1803757015022,895.6309767436522,937.2091915225824,774.4444157824437,795.2780844611826,822.5595166440231,215.02284404243176,209.04258724558923,289.35396161195536,271.35246950431707,1263.19998738985,1731.479427552673,369.884104606194,2.990442212954611,83.07260369188752,22.275913710215505,,249.54778133760567,0.823578112566721,2018,0.9721878071910262,3.0,1520.0052286859705,61.024001630391446,1799.252409990714
31,533815.2813887175,846.5913017454334,884.6429241717944,843.3442780113936,948.3406359132632,784.7109762963939,794.0427709834998,869.305488909067,182.0999990105629,177.03539872756718,289.5666809082031,270.8571472167969,1277.7000011056662,1761.800001963973,368.4099998828024,3.0980823040008545,87.55000305175781,22.06666755676269,,250.4255949194543,0.8661162233016223,2018,0.9721878071910262,1.0,1609.637599931988,153.8344728408342,1791.7230015270438
32,535505.0897451412,853.7907980707427,831.8936985358494,893.4852142578784,926.2713290184038,779.421890894736,784.3840446583558,847.2230235488813,202.79999968409535,197.1596869912215,289.54998779296875,271.1142883300781,1274.3999991565945,1754.7999976873398,374.1800001747906,3.019726037979126,84.30000305175781,21.674999237060547,,248.3437224110404,0.7762871384982656,2018,0.9721878071910262,3.0,1537.7394386939554,74.30044619514506,1796.1195104172991
33,509698.5469838152,826.9334071008309,825.3967964336262,887.2517581844683,960.7199885092938,785.4843013544139,714.5098628562916,769.8520145974529,182.40597728270347,177.33286707300618,289.57814129244963,271.01951145086525,1313.5086759405278,1821.0661041350363,383.5336648094403,3.150872782617102,82.27475522515199,21.238611997695237,,241.44161147101696,0.8595718818872405,2018,0.9721878071910262,1.0,1519.3116902546956,111.3616935779702,1807.8344033744856
34,514504.6294201497,735.917558796257,782.592762159656,766.997513276574,813.7355844484381,704.5288712804519,696.5832736238725,711.8781452836554,183.70000115036964,178.59090129936683,289.5800170898437,271.04998779296875,1316.7999970167875,1826.200002759695,385.4099992979318,3.152876615524292,81.57499694824219,21.149999618530277,,241.04922265408723,0.8658580780300927,2018,0.9721878071910262,1.0,1519.8568654810344,113.8509051172363,1810.329253320828
35,472519.29077156377,766.0168242085168,810.5114616711862,732.3862689236519,823.2794966937556,731.3351428194742,743.9781887177492,783.9559417830797,176.60000121593475,171.68836793205216,289.6199951171875,270.8249816894531,1294.00000064075,1787.899999514222,369.9999988116324,3.161643743515014,87.5999984741211,22.21999931335449,,245.26194683532984,0.8672665959591479,2018,0.9721878071910262,5.0,1520.7400039069717,156.24286828144713,1789.8616087552257
36,496483.11136665125,791.4975768160234,814.9749331441354,738.0063417562626,879.7045680292531,631.496649020357,771.4230802816132,815.8826829667629,202.79999968409535,197.1596869912215,289.54998779296875,271.1142883300781,1274.3999991565945,1754.7999976873398,374.1800001747906,3.019726037979126,84.30000305175781,21.674999237060547,,248.71824560981997,0.7290358254177007,2018,0.9721878071910262,1.0,1546.1498836025662,107.19475599487662,1793.7598635371178
37,520068.0370534154,773.1461075660889,781.8980752702172,758.3159213439249,932.3858467468876,755.5175621825755,691.3073264748012,786.1285948691234,203.22422850926975,197.5721170825132,289.4287719043007,270.9692694434368,1271.9758298124143,1749.2244105184327,370.78010112067193,3.0295222917219693,85.57269127924376,22.27887778159835,,251.0280057687846,0.8459323063697305,2018,0.9721878071910262,1.0,1532.5436064518958,157.78038078765778,1791.0805327527298
38,498503.1860793944,782.5069903983396,725.1464956100522,787.7148425673633,885.1376826874732,646.8287109121578,900.4491371480472,665.0393797846118,276.1000006198883,268.42105416809017,289.3399963378906,270.875,1311.0999992787838,1811.799998730421,364.0099994316697,3.369041204452514,89.5999984741211,23.21999931335449,,272.3389714088839,0.6338730324935423,2018,0.9721878071910262,3.0,1505.4042627960957,33.344675680014795,1765.805432261622
39,489602.1226482207,826.720340953119,859.9857585653405,805.0483035368353,934.7519243335436,780.6909337466104,761.493324846405,816.3575579786354,182.0999990105629,177.03539872756718,289.5666809082031,270.8571472167969,1277.7000011056662,1761.800001963973,368.4099998828024,3.0980823040008545,87.55000305175781,22.06666755676269,,249.81178404654463,0.6808338684238185,2018,0.9721878071910262,1.0,1593.8857036402874,152.573319799604,1791.6165476388196
40,482164.4518051342,790.6485348356047,787.386598749606,835.1354461836011,858.4321504070523,770.8011907974628,709.4117471776186,781.3172423874419,183.70000115036964,178.59090129936683,289.5800170898437,271.04998779296875,1316.7999970167875,1826.200002759695,385.4099992979318,3.152876615524292,81.57499694824219,21.149999618530277,,239.67157163788323,0.7463149056758471,2018,0.9721878071910262,1.0,1520.121303491727,135.286271359787,1803.6437970241905
41,481200.653450085,869.9775467658325,891.9572458868603,830.1299808429116,950.6472348386654,820.1420779806172,795.8012959206676,884.0902186161819,183.70000115036964,178.59090129936683,289.5800170898437,271.04998779296875,1316.7999970167875,1826.200002759695,385.4099992979318,3.152876615524292,81.57499694824219,21.149999618530277,,238.89246337546805,0.8371964347649324,2018,0.9721878071910262,1.0,1523.5705175864377,143.18238361553813,1804.1283961190416
42,505357.9248638737,790.8925985130502,780.6471982920469,770.574293806524,946.8133793939518,822.5172136335834,721.4181266159569,766.0851508942075,174.50000044703484,169.6467727894359,289.5666809082031,270.83331298828125,1293.3999987840652,1789.7000029236078,372.0699991285801,3.138630151748657,86.55000305175781,21.779998779296875,,242.3761430678295,0.5289196594490475,2018,0.9721878071910262,1.0,1516.0362750163392,96.382822136987,1798.791690802601
43,528371.8245985565,713.786010469055,699.645165760033,678.3249255876011,863.3337456120539,764.7158421430769,648.6442266242428,659.8280919634607,174.50000044703484,169.6467727894359,289.5666809082031,270.83331298828125,1293.3999987840652,1789.7000029236078,372.0699991285801,3.138630151748657,86.55000305175781,21.779998779296875,,242.16545281944457,0.7239292437242225,2018,0.9721878071910262,1.0,1519.6586678462402,93.68009632696725,1802.9194122839424
44,496876.8177545218,881.4501400697885,875.9168864642891,854.4494192428039,968.8067907373204,799.1475237954817,933.7070275170238,864.3972575809697,212.71309342169965,206.79707585446272,289.83933520119047,271.57702996934256,1338.7143859184175,1861.542746624542,403.4380629008947,3.1363203753073488,77.27128726545533,20.13716256187225,,234.9788864523891,0.760575229323948,2018,0.9721878071910262,1.0,1503.9340248969424,117.066013157113,1814.351141328091
45,506553.433903848,822.3946208042008,790.8626644164053,795.037268611535,965.852169439204,790.6373489780067,845.9695303919212,769.3221570360846,235.0829779484036,228.54480483959304,289.74391795843616,272.1825930630067,1342.4531954451872,1864.4727521974835,405.4671101357949,3.1502256312075616,74.87191165518473,20.162555569170976,,233.338581737006,0.8608679106695589,2018,0.9721878071910262,5.0,1511.737201956403,87.19576189070855,1824.8186485458116
46,488770.1321498553,932.8591961509256,990.613612553837,1000.7676143386904,708.1033268101762,854.0262462099591,942.1775208279056,952.799791582367,175.51182630099763,170.63045754765574,289.5923688488141,270.82929878806,1293.6890926739395,1788.8327222950431,371.0726281421421,3.1497185987085827,87.0559135878984,21.99200056649153,,245.20520939495117,0.873757653121031,2018,0.9721878071910262,1.0,1557.611114426869,156.32728523100644,1791.8479054994157
47,496100.9481887039,574.1982962586537,553.1892912370427,576.968340354846,686.5391676866582,555.5172914993251,526.8017911687404,528.1342229070701,180.90000015497208,175.8687744715186,289.33331298828125,271.1000061035156,1280.0999996215105,1767.699999988079,370.6999991126359,3.081095933914185,85.625,22.185714721679688,,244.2168457467666,0.7646625983685025,2018,0.9721878071910262,1.0,1598.2419448144444,145.82899545724646,1799.11792055947
48,502448.0874323465,228.569637800372,156.36853205318366,211.99392108740784,360.9042713364452,274.9150408587069,229.93605005528735,237.7977022034032,180.90000015497208,175.8687744715186,289.33331298828125,271.1000061035156,1280.0999996215105,1767.699999988079,370.6999991126359,3.081095933914185,85.625,22.185714721679688,,245.5102127082066,0.2146098481165736,2018,0.9721878071910262,1.0,1584.7917541921163,141.72272482699566,1796.0184191075318
49,489104.5052305265,723.005614085647,727.5835767212192,668.2606310165764,839.7506002650597,734.9551704454137,671.8182654525904,700.2813914951869,180.90000015497208,175.8687744715186,289.33331298828125,271.1000061035156,1280.0999996215105,1767.699999988079,370.6999991126359,3.081095933914185,85.625,22.185714721679688,,244.0104372498334,0.8532519357788158,2018,0.9721878071910262,1.0,1613.3293293557426,105.2810671835134,1798.6363318922504
50,506473.3941254873,833.3131699068348,830.7322138564695,824.0785292685405,923.4678033952002,797.7256104413156,795.220909387659,842.1467520722634,176.58377703450194,171.67259498068,289.490698622267,270.9201456281131,1289.0696506382849,1782.5370196215283,371.6239406772783,3.1198975796279083,86.24883120948444,21.91209587624689,,243.28705891690757,0.816380884083892,2018,0.9721878071910262,1.0,1536.432827132865,139.79805358345467,1796.260390687715
52,484412.78477943694,227.19931388789408,182.9989478868196,144.04281205229233,269.0357360872317,350.19039890759313,235.8318129924785,301.5852155712752,192.28364154653968,186.9358118338374,289.5920478874089,271.1095859533054,1300.1938496206908,1800.6435657493896,382.4889663285006,3.0940909902845397,82.13660560398877,21.278144031208036,,242.53195922014723,0.2881803590013617,2018,0.9721878071910262,1.0,1608.7951150556114,116.5271496417962,1800.5250264452543
53,511626.69895440544,820.4800265041082,754.1917201166183,817.6687569573286,954.9118822693686,812.9579326795656,731.4860641399416,825.3168460111317,194.1000008881092,188.70165423918712,289.6333312988281,271.1111145019531,1303.399998769164,1805.8999992012975,384.36999894306064,3.096164464950561,81.58000183105469,21.13333320617676,,240.558810738752,0.8178791038824311,2018,0.9721878071910262,1.0,1603.9159756515378,148.7121114508243,1804.39199631137
55,499698.57610676246,783.0736547595803,823.687146203396,813.6291777821147,854.0042997809437,734.4249463205148,819.0153393194088,736.6775435400265,175.1757625596899,170.30374047592113,289.7199420651374,270.7156651616212,1304.56916600208,1804.938333387156,371.5280029523532,3.212795103240329,87.42181847890629,22.397224168982017,,243.00385246342188,0.7811328733727441,2018,0.9721878071910262,1.0,1520.0,130.5145791218695,1791.4690853291538
56,479880.0509856834,846.9817929942608,887.9835345339404,822.1191032201516,964.3983719126624,830.3093890475243,822.9127420768426,810.9592604110709,233.49137637428888,226.99746919533064,289.1252295605892,272.8495656555991,1333.8053754506695,1844.6121643116996,394.384229728577,3.2238173772743366,73.70117757844211,21.69948697074645,,233.70412048685685,0.8481096528153498,2018,0.9721878071910262,1.0,1599.1427377254774,140.88106048907613,1811.8822015879125
57,484356.8138258135,811.8946209323567,846.1399599890157,777.4935640596019,900.946074419543,772.8396478585154,821.0212439269043,754.097657059921,233.47907364437225,226.98550863131047,289.1255570010809,272.84898093941536,1333.813047116628,1844.6295191119943,394.3902641471994,3.223791232544005,73.70286160502022,21.69875410815433,,233.7929595872671,0.8581124094693107,2018,0.9721878071910262,1.0,1608.1181736528504,147.62380839401038,1813.2839113183445
58,461554.6636799294,772.132029598309,767.1426943857174,795.6896112285644,865.9792206266696,781.4716349541928,747.3342083626967,752.9390826873383,174.59999930858612,169.74399046336902,289.6000061035156,270.84283447265625,1307.399999216199,1810.6000060141089,374.44999932684,3.2010958194732666,85.36666870117188,22.13333320617676,,242.31000139077375,0.787887813299562,2018,0.9721878071910262,1.0,1520.0,111.44626015547657,1795.9740226201584
59,493430.20885531045,614.8485146340125,610.7199659546428,580.1924825654824,584.1696611937838,613.7786173192029,629.0647575641098,624.2289165888747,174.59999930858612,169.74399046336902,289.6000061035156,270.84283447265625,1307.399999216199,1810.6000060141089,374.44999932684,3.2010958194732666,85.36666870117188,22.13333320617676,,242.60697091548232,0.416934479692447,2018,0.9721878071910262,1.0,1520.0,112.9716274142304,1794.9320812740248
60,508144.73208381154,828.7200494864705,845.828503780809,815.2652858803577,919.925326251006,801.830599490203,813.7702451926663,822.1979298870551,175.17883139755455,170.30672396267548,289.72058132792426,270.714987344834,1304.5540775640115,1804.908156477981,371.512428611515,3.2128574608238427,87.43277249766932,22.398630716859603,,242.4266815281283,0.7448516385238126,2018,0.9721878071910262,1.0,1520.0,106.69609925425036,1791.8186005843352
61,469152.9436496081,673.5371801397437,654.5561866641989,746.5655164036837,739.7722741342899,647.9290581185513,689.9935276016843,585.7172562583869,207.19999927282333,201.43731294302836,289.8249816894531,271.6000061035156,1350.200002014637,1881.699997842312,407.2799997460097,3.167945146560669,77.30000305175781,20.13333320617676,,233.8458664561657,0.5560862189172159,2018,0.9721878071910262,5.0,1568.700842074359,138.83607126284932,1810.777027105192
62,547525.8681067879,700.3469314007939,707.1528458423674,662.6899620818359,727.3524292390885,703.3521637114262,713.8825328937598,731.3458473175128,174.5136869664001,169.66007865668448,289.5712420194391,270.83461616292004,1295.31613336854,1792.5605184594094,372.3957420250215,3.1471796247897226,86.38804392288871,21.82835851460632,,242.7704369803875,0.5932706663035785,2018,0.9721878071910262,1.0,1519.911580743154,104.20297474147604,1793.7509910569788
63,509060.77213817,679.4872502089913,676.8091657925424,623.3898896207274,770.2275491835579,736.5506983232787,670.2387663931588,663.6569243957892,174.5129039725202,169.6593174395813,289.57098108222857,270.8345416094312,1295.2065129740172,1792.3968708512953,372.3771065569751,3.146690516866243,86.39730946391444,21.8255918961722,,242.29251816700253,0.5968206001874964,2018,0.9721878071910262,1.0,1516.2368772342597,106.31054707210652,1800.5953007198543
64,513655.5405383741,648.1055095996998,664.101386769992,654.2258846135571,677.4660932830694,628.9359720851173,633.7589174008749,639.5823483764706,174.50000044703484,169.6467727894359,289.5666809082031,270.83331298828125,1293.3999987840652,1789.7000029236078,372.0699991285801,3.138630151748657,86.55000305175781,21.779998779296875,,242.13984441569016,0.7289725150889105,2018,0.9721878071910262,1.0,1516.670002479051,104.05326123088108,1801.471106515213
65,493740.8459204649,869.019289462705,883.9986002239638,920.7259293415016,964.4520233625358,794.1190578134946,818.4656807851914,828.1197220209472,174.50000044703484,169.6467727894359,289.5666809082031,270.83331298828125,1293.3999987840652,1789.7000029236078,372.0699991285801,3.138630151748657,86.55000305175781,21.779998779296875,,242.8370132432925,0.8632660826647973,2018,0.9721878071910262,1.0,1522.0230498652302,101.65855566169948,1797.3474432519977
66,499212.9691925017,818.9106711208891,813.1420027703094,803.7960672478889,932.2680254444914,793.5676960265089,773.4795621825689,814.3921562236902,194.1000008881092,188.70165423918712,289.6333312988281,271.1111145019531,1303.399998769164,1805.8999992012975,384.36999894306064,3.096164464950561,81.58000183105469,21.13333320617676,,241.1098562168217,0.8435573123087665,2018,0.9721878071910262,1.0,1604.51780278047,147.88968051033282,1802.9277988145752
67,454006.0245022336,805.5391159309388,791.95972428141,867.665389306041,930.7718147687596,764.6552381749484,774.9056925247501,697.4009636998418,207.19999927282333,201.43731294302836,289.8249816894531,271.6000061035156,1350.200002014637,1881.699997842312,407.2799997460097,3.167945146560669,77.30000305175781,20.13333320617676,,233.4320752514184,0.775717457525585,2018,0.9721878071910262,1.0,1559.9772947315525,149.19444470487133,1812.969504758716
68,488679.4479876996,704.9965191364356,707.5840423468119,732.3882936562926,829.4023168805259,637.662871712441,649.2551506249483,695.7081839093202,203.49999821186063,197.84021702496656,289.3499755859375,270.875,1270.3999999314549,1745.600003302097,368.5699987057597,3.0358903408050537,86.4000015258789,22.67142868041992,,254.6706638904988,0.6859060691968834,2018,0.9721878071910262,1.0,1550.777796056917,157.66413345379868,1787.114300282091
