dri_id,all_app,sub_app,dri_field_id
dri_pou_group_id_120,43397,43397,176
dri_pou_group_id_121,46287,46287,163
dri_pou_group_id_122,46461,46461,89
dri_pou_group_id_123,46505,46505,26
dri_pou_group_id_124,47591,47591,84
dri_pou_group_id_125,49185,49185,167
dri_pou_group_id_126,49188,49188,157
dri_pou_group_id_127,50095,50095,87
dri_pou_group_id_128,51647,51647,24
dri_pou_group_id_129,63497,63497,196
dri_pou_group_id_130,67172,67172,219
dri_pou_group_id_131,71748,71748,215
dri_pou_group_id_132,73899,73899,170
dri_pou_group_id_133,76358,76358,49
dri_pou_group_id_134,78062,78062,124
dri_pou_group_id_135,78568,78568,220
dri_pou_group_id_136,78906,78906,130
