Year,P_rz_fraction,P_rz,PPT,NIWR,ETpot,ETact,P_eft_fraction,P_eft
2016,0.9295238370060747,208.95529534741962,225.27391708195216,758.1430614153295,976.394465685335,967.0983567627494,0.6437336292314051,144.74407792088923
2017,0.8603473866467308,235.6891269723961,274.74783069302606,706.1822211896996,950.5739474537233,941.8713481620958,0.5646898123341653,154.45549174830614
2018,0.9816175263159093,183.1204848512686,186.99130745588698,758.1905833853125,952.450425018373,941.1073410316176,0.7163979131435567,133.8883702236818
2019,0.888477529293498,310.2825302739555,351.9608759507567,602.1648390396304,919.3326088136935,911.9253376155928,0.6911834687895926,240.71326627372602
2020,0.972504668329875,203.21470690294316,209.52174257351743,762.374772574168,976.2050110573022,965.5894794771112,0.7508444387633094,156.8053327656678
2021,0.9643557172595085,198.49301144010843,206.00000322789998,730.9834938484703,947.0489516133757,929.4765052885789,0.7490296708221547,154.00263787737262
2022,0.9498861947928924,212.0366330995154,223.4304387157087,725.1940988282937,951.3296985420844,937.0862399804707,0.7186383589443216,160.34211322600726
