FID,area_m2,annual_et_mm,annual_precip_mm,annual_precip_eff_mm,YEAR,eff_factor
,309639.1321896407,715.3300609846798,203.49999821186063,197.84021702496656,2018,0.9721878071910262
,481071.53314021183,801.0644135099162,216.79999870061877,210.77031533577187,2018,0.9721878071910262
,501239.481288169,672.3449267513334,246.599998742342,239.7415120306273,2018,0.9721878071910262
,462084.5578080055,719.1113868647402,202.79999968409535,197.1596869912215,2018,0.9721878071910262
,524721.6388002747,766.692510785605,214.48963068255827,208.5242037184881,2018,0.9721878071910262
,503693.84722064686,831.612323263831,174.59999930858612,169.74399046336902,2018,0.9721878071910262
,242033.0793547041,819.1714080910352,174.59999930858612,169.74399046336902,2018,0.9721878071910262
,299381.7833410217,155.61950305838064,194.1000008881092,188.70165423918712,2018,0.9721878071910262
,485005.52131050505,903.265536912564,174.50000044703484,169.6467727894359,2018,0.9721878071910262
,328403.81870248605,186.0885415804373,246.599998742342,239.7415120306273,2018,0.9721878071910262
,375378.2102567985,512.2563361397847,214.0999988913536,208.1454084417862,2018,0.9721878071910262
,517699.1326891153,891.9500340688713,194.1000008881092,188.70165423918712,2018,0.9721878071910262
,497764.71295456256,783.1666984353471,201.5196501835256,195.91494681782285,2018,0.9721878071910262
,144317.47664838878,174.81213266948672,299.70000022649765,291.3646860353488,2018,0.9721878071910262
,168098.50588965177,147.22083159281513,212.30000045895576,206.3954719128461,2018,0.9721878071910262
,522493.5234816583,784.2038485258374,215.58473353293772,209.58884935724845,2018,0.9721878071910262
,188263.57793125167,151.68538001609755,214.0999988913536,208.1454084417862,2018,0.9721878071910262
,89566.71518941942,198.55695360232292,207.24061974253536,201.476803668405,2018,0.9721878071910262
,177834.59010144955,171.64773177949297,214.0999988913536,208.1454084417862,2018,0.9721878071910262
,146347.57458479042,177.13691949606525,214.0999988913536,208.1454084417862,2018,0.9721878071910262
,27860.496103187965,292.19404437524315,182.0999990105629,177.03539872756718,2018,0.9721878071910262
,374400.9049502065,178.23073576752398,210.69999861717224,204.83996963078093,2018,0.9721878071910262
,494108.2402537869,874.5376342316844,174.5130346202753,169.65944445373594,2018,0.9721878071910262
,505755.67202775634,710.5977946995788,214.2795298058184,208.319946207844,2018,0.9721878071910262
,495243.7763903519,733.2401844042911,232.699998408556,226.2281011861693,2018,0.9721878071910262
,532670.3377676448,798.2099981708806,231.299999922514,224.86703972795337,2018,0.9721878071910262
,488970.92554301786,831.0525913959456,224.89991894385332,218.64495903546327,2018,0.9721878071910262
,522551.72969421,840.6734524734521,231.299999922514,224.86703972795337,2018,0.9721878071910262
,511605.6456590771,718.6744904654068,225.05110339238396,218.7919387129611,2018,0.9721878071910262
,499296.6337903984,759.3885076025548,214.4790086727072,208.5138771300264,2018,0.9721878071910262
,498418.38631354977,727.1750421896276,233.02745410884611,226.54644962538327,2018,0.9721878071910262
,496116.7602495948,886.748779422205,201.7799292565716,196.1679869591052,2018,0.9721878071910262
,498695.60040066857,773.6898362009929,180.90000015497208,175.8687744715186,2018,0.9721878071910262
