dri_field_,area_m2,annual_et_mm,annual_precip_mm,annual_precip_eff_mm,YEAR,eff_factor
0,309639.1321896609,715.3300609846798,203.49999821186063,197.84021702496656,2018,0.9721878071910262
1,481071.53314006777,801.0644135099162,216.79999870061877,210.77031533577187,2018,0.9721878071910262
2,501239.4812881077,672.3449267513334,246.599998742342,239.7415120306273,2018,0.9721878071910262
3,462084.5578080055,719.1113868647402,202.79999968409535,197.1596869912215,2018,0.9721878071910262
4,524721.6388003868,766.692510785605,214.48963068255827,208.5242037184881,2018,0.9721878071910262
5,503693.8472206704,831.612323263831,174.59999930858612,169.74399046336902,2018,0.9721878071910262
6,485005.5213104429,903.265536912564,174.50000044703484,169.6467727894359,2018,0.9721878071910262
8,375378.210256719,512.2563361397847,214.0999988913536,208.1454084417862,2018,0.9721878071910262
9,517699.1326890696,891.9500340688713,194.1000008881092,188.70165423918712,2018,0.9721878071910262
10,497764.712954667,783.1666984353471,201.5196501835256,195.91494681782285,2018,0.9721878071910262
11,522493.52348166535,784.2038485258374,215.58473353293772,209.58884935724845,2018,0.9721878071910262
13,494108.2402537737,874.5376342316844,174.5130346202753,169.65944445373594,2018,0.9721878071910262
14,505755.6720276143,710.5977946995788,214.2795298058184,208.319946207844,2018,0.9721878071910262
15,495243.7763902867,733.2401844042911,232.699998408556,226.2281011861693,2018,0.9721878071910262
16,532670.3377676263,798.2099981708806,231.299999922514,224.86703972795337,2018,0.9721878071910262
17,488970.9255428614,831.0525913959456,224.89991894385332,218.64495903546327,2018,0.9721878071910262
18,522551.72969409154,840.6734524734521,231.299999922514,224.86703972795337,2018,0.9721878071910262
19,511605.6456590738,718.6744904654068,225.05110339238396,218.7919387129611,2018,0.9721878071910262
20,499296.6337904927,759.3885076025548,214.4790086727072,208.5138771300264,2018,0.9721878071910262
21,498418.3863134924,727.1750421896276,233.02745410884611,226.54644962538327,2018,0.9721878071910262
22,496116.7602497004,886.748779422205,201.7799292565716,196.1679869591052,2018,0.9721878071910262
23,498695.6004006252,773.6898362009929,180.90000015497208,175.8687744715186,2018,0.9721878071910262
24,498886.8414981245,928.9755202224248,182.0999990105629,177.03539872756718,2018,0.9721878071910262
25,510719.0119634139,809.0378318713214,180.90000015497208,175.8687744715186,2018,0.9721878071910262
26,507704.2287743484,658.4707295074531,202.79999968409535,197.1596869912215,2018,0.9721878071910262
27,488843.750059504,729.6176390698186,214.33206947014125,208.3710246288904,2018,0.9721878071910262
28,521585.1496169952,562.449107801669,201.5103252057297,195.90588118810743,2018,0.9721878071910262
29,512987.020842874,720.8432916261571,214.55299684701103,208.5858075309576,2018,0.9721878071910262
30,472876.8977060344,846.6747608156055,215.02284404243176,209.04258724558923,2018,0.9721878071910262
31,533815.2813887175,846.5913017454334,182.0999990105629,177.03539872756718,2018,0.9721878071910262
32,535505.0897451412,853.7907980707427,202.79999968409535,197.1596869912215,2018,0.9721878071910262
33,509698.5469838152,826.9334071008309,182.40597728270347,177.33286707300618,2018,0.9721878071910262
34,514504.6294201497,735.917558796257,183.70000115036964,178.59090129936683,2018,0.9721878071910262
35,472519.29077156377,766.0168242085168,176.60000121593475,171.68836793205216,2018,0.9721878071910262
36,496483.11136665125,791.4975768160234,202.79999968409535,197.1596869912215,2018,0.9721878071910262
37,520068.0370534154,773.1461075660889,203.22422850926975,197.5721170825132,2018,0.9721878071910262
38,498503.1860793944,782.5069903983396,276.1000006198883,268.42105416809017,2018,0.9721878071910262
39,489602.1226482207,826.720340953119,182.0999990105629,177.03539872756718,2018,0.9721878071910262
