#  3 - Alfalfa Hay
Year,PMeto_mm,ETact,ETpot,ETbas,Kc,Kcb,PPT,Irrigation,Runoff,DPerc,P_rz,P_eft,P_rz_fraction,P_eft_fraction,NIWR,Season,Cutting
1979,1198.0940113828524,1009.4458899971638,1033.184150070415,911.9878117130567,0.6807357754413741,0.51290454837308,202.20000225330003,1006.3810688864124,5.4750000835,73.25262571395618,196.7250021698,130.4179845225301,0.9729228485534764,0.6449949706684616,812.7208878273647, 177,  3
1980,1147.8855363805537,943.1029552669187,965.472299915436,845.3343966957952,0.7108666011501732,0.5123247973874991,288.9000055792,624.4201654631281,0.9980891398717242,71.66459130155637,278.6793416840847,211.81046503878707,0.9646221401947555,0.7331618585958132,664.4236135828343, 171,  3
1981,1253.9189447429735,1055.4391611151068,1082.2024647553549,970.9651160696648,0.66796130419697,0.5332024292807177,190.2000038621,873.2390043246671,0.026481106262281277,76.8788903724928,190.1735227558377,135.53544137796854,0.9998607723148023,0.7125943145418403,865.2656383592698, 176,  3
1982,1048.7873789138916,893.4576449334595,913.1169464680717,774.3257992703906,0.7871249492803445,0.4999848282550424,314.0000045601001,593.688099197124,0.9294780678138271,55.555581118597956,313.0705264922863,244.77414247159854,0.997039878807913,0.7795354742574483,580.3871184411731, 161,  2
1983,1043.4575898849805,900.8416872475145,916.5974258797794,724.3039311020988,0.7955308731435727,0.41732709522244243,424.7000087507001,523.3543629189643,2.93291961768116,76.04658623566732,398.05593918924825,276.0778019935822,0.9372637885272755,0.650053676254197,502.7857480582671, 132,  2
1984,1077.875477460649,865.0259981674034,889.9084123019263,753.2882603415236,0.6936954714558541,0.44865920744221527,280.4000039401,603.3825695633343,0.00011763832588883546,83.4736330367362,260.08949579953,190.19910063292053,0.9275659491612961,0.6783134734675378,607.7614879460318, 141,  3
1985,1151.9793271308251,914.1696588801657,938.7644566044145,832.5472764212903,0.7162907880424134,0.47004743361545537,184.5000036959,696.6632564112308,0.5664992240183342,72.69106267920529,180.90876743379948,137.15383145963506,0.9805353052023796,0.7433811854318294,733.2608914463664, 154,  3
1986,1222.4467740435553,1054.4282223180574,1074.650664503027,941.1704512778871,0.6902455925870031,0.524009875707622,182.70000457810005,883.6880117968445,0.16750516136919624,80.92609337081527,182.53249941673087,107.80199716713446,0.9990831682694481,0.5900492307927205,871.8957229013263, 178,  3
1987,1175.124342100157,1014.7451251479235,1035.6009799949343,928.7600173695351,0.7815406239965716,0.5864405847966006,297.20000487519997,692.7040535623534,4.983308990597966,67.16634885481932,292.216695884602,250.95441283267274,0.9832324733887856,0.8443957224632394,724.3649016966596, 204,  3
1988,1211.4424490739148,944.4192381474339,981.0091115682635,862.9785046976914,0.6506616855352344,0.46794509445793997,213.9000047442,784.3140085954428,1.0441537055987868,77.7420685176329,207.8470585099083,149.99662947819053,0.9717019817669927,0.7012464990712337,736.5721796375253, 149,  3
