#  3 - Alfalfa Hay
Year,PMeto_mm,ETact,ETpot,ETbas,Kc,Kcb,PPT,Irrigation,Runoff,DPerc,P_rz,P_eft,P_rz_fraction,P_eft_fraction,NIWR,Season,Cutting
1979,1205.391140702954,1011.8710478209482,1037.2753791359469,897.3263886916145,0.6858851526876907,0.5041418361843759,210.90000432769997,980.5310805548866,1.8750000447000001,71.01859414651773,209.02500428300002,131.0042270100057,0.9911095305537,0.6211674932279714,802.846043537948, 175,  3
1980,1169.164567422123,958.6094702986813,980.3537839978234,859.0362473390434,0.706514336813501,0.5151462291607632,306.20000311749993,602.387127828226,1.5464021389052451,60.23866281515805,304.65360097859474,237.9101716060121,0.9949496991405589,0.776976385316095,653.9558693200862, 172,  3
1981,1265.2276520311011,1066.5392755626347,1093.4263615437985,972.7016344851256,0.6628704061212117,0.5305255193714108,191.1000032732,912.0753661122126,0.026687205786146355,80.31233383893895,191.07331606741386,132.62699019856876,0.9998603495273205,0.6940187751277159,875.4659594952227, 174,  3
1982,1081.3785632965419,915.7907947502669,936.8405623940731,792.8041810326588,0.7755050317257425,0.4994985372646747,365.00000458940013,579.9954018704492,4.748742068558925,56.231331545287915,359.8130198983208,278.92066172903105,0.9857890832168227,0.7641661869094977,556.7530808028297, 160,  2
1983,1084.3561428548915,912.082470232799,930.5716420409436,722.964554917788,0.774130067766706,0.4104366749261141,456.00000581210026,500.69895605226316,3.70891463449932,88.83323709444309,413.5277496883841,285.0403368106569,0.9068590886351495,0.6250884499508338,498.5547205444146, 127,  2
1984,1101.8067281701697,889.0016987418271,915.6313121098242,766.2971530828054,0.6887367765987242,0.4492505557960032,309.7000057997,572.4396166937722,0.048206761195201286,67.64779442547157,299.2479662824105,224.45289135962372,0.9662510838826093,0.724742935603268,589.7537324594172, 140,  3
1985,1155.7874601051499,912.6956560427371,937.3599962883268,835.8027924740198,0.7086650559719929,0.47363356326897826,196.10000363050003,674.2009503947731,1.7365700706880594,64.95161297438331,194.36343355981197,147.02626867133128,0.9911444669120957,0.7497514836785237,718.3322224829252, 154,  3
1986,1227.866688880954,1065.8374418663898,1082.7319667105523,941.1509074918895,0.6916560019185549,0.521467632306996,209.0000026523,836.8112654857615,0.3385115344254655,71.28742197782422,208.66149111787456,125.93387276354484,0.9983803276070355,0.6025544074899033,857.1759507485144, 177,  3
1987,1169.7679205654595,1005.1008313562346,1026.8819939370285,920.8811030777215,0.7626677543763596,0.5844424738776721,315.50000801690004,822.496956004083,7.440989232939204,137.33418248417237,267.38840656768076,221.21105742993518,0.8475068138615003,0.7011443797430452,764.3572459976243, 203,  3
1988,1208.683863300179,936.318660871965,973.5344039886184,851.6263322930583,0.6438918588628993,0.4646667362665744,235.00000324880003,672.8098697783861,0.4569388854593537,87.4550946902009,214.36895665097845,145.18619014287458,0.9122083135633875,0.6178135665349865,721.9497042209867, 148,  3
1989,1259.050999010662,1094.6594837132059,1111.2866299977718,1014.9970459989155,0.7237482016361306,0.5732722461046373,185.90000340400007,906.5387801587026,0.3117856219604023,83.18447973870167,185.58821778203966,140.78816935627708,0.9983228315424888,0.7573327960103077,912.6323599539857, 202,  3
1990,1238.2846540011114,1068.8278680501653,1084.193225911655,951.426895619375,0.7426010268213399,0.5388831030082045,254.70000404119995,849.9376591480728,0.4375044008994635,77.71649314406218,254.2624996403005,193.1233564724146,0.9982822756420974,0.7582385292823757,814.565368409865, 178,  3
