#  3 - Alfalfa Hay
Year,PMeto_mm,ETact,ETpot,ETbas,Kc,Kcb,PPT,Irrigation,Runoff,DPerc,P_rz,P_eft,P_rz_fraction,P_eft_fraction,NIWR,Season,Cutting
1979,1163.3515922470247,1068.609952699346,1086.2850380910588,909.0891709866878,0.8035343985392632,0.5350265483071747,246.7000041309,1060.666838758859,7.050781301655234,76.3130496849091,239.64922282924474,173.83476661837094,0.9714196141727096,0.70464030688112,828.960729870101, 177,  3
1980,1119.93980713506,956.9587491373122,975.9604737369857,831.2137254314847,0.76987499069477,0.5172818647274537,332.1000061629001,622.6221464690134,8.003235560722429,62.26116763867022,324.09677060217774,257.12171836750736,0.9759011279367557,0.7742297910147741,632.8619785351345, 175,  3
1981,1206.909366409529,1055.5328350283542,1083.8761428935686,934.1184009737809,0.7484184371145263,0.5349264185352314,249.50000250379995,840.9730710565905,2.364596169740641,77.65273746593743,247.13540633405935,177.83367942747947,0.9905226607374299,0.7127602310335488,808.3974286942938, 177,  3
1982,1010.3166156438559,895.6296161275209,912.9782823734977,738.6490173288831,0.8638197496008707,0.4900140129728186,382.60000750440014,608.618012444454,17.747995039447925,69.60951505488038,350.8956089195715,277.97441596395095,0.9171343492865351,0.7265405397587559,544.734007207949, 170,  3
1983,1003.993805367246,956.911680555088,973.1766027844113,720.8778943901026,0.9145630096562968,0.43103438349976275,500.0000102517004,460.5168294923877,17.648942516136717,72.83741440889301,455.5653362759094,314.26354401832305,0.9111306538705417,0.6285270751497035,501.34634427917905, 139,  2
1984,1035.6210476873248,912.3536489644844,934.364576092695,716.9810734643033,0.8328571179162826,0.44267043992576155,328.3000062710001,601.8645975961866,1.9625594060690568,56.81250965325532,326.337446864931,235.03670905657845,0.9940220549236022,0.7159205134542822,586.0162020995531, 139,  3
1985,1134.081197456526,967.2143375332963,991.4006484227078,844.0431162318107,0.797798147612899,0.48468931049351494,229.0000041128,769.4677107550169,6.290659610109316,76.94646388280297,222.70934450269073,171.24998343998408,0.9725298711915714,0.7478165081413289,744.504993030606, 171,  3
1986,1176.5689922996494,1045.0376004256993,1054.8072895405978,919.813659047579,0.7312649555157507,0.5488291491438326,223.8000041845999,778.1502650801372,1.0993971794091666,83.1240861566149,217.39154735658963,150.12810708743888,0.9713652515273221,0.6708136920480428,827.6460530691102, 189,  3
1987,1164.3742477622495,1036.1530268659126,1056.5754234672997,923.3592495873685,0.8388916256676984,0.5975475338705168,319.0000061989001,772.0197859235193,13.571298538837407,77.20124517853148,305.42870766006274,256.64995536159154,0.9574567452190722,0.8045452989789831,730.7243192058503, 207,  3
1988,1186.3336818303742,908.3974849671063,944.0136706729795,831.0853339535499,0.660405618855009,0.4577532900425242,246.00000289059997,622.3872012146688,3.7326999461937587,79.0203962706187,225.4856267952544,167.66323348511273,0.91660822823458,0.6815578516869985,682.911858171852, 147,  3
1989,1185.99832254724,1074.9466511529931,1090.1068892416056,944.1061337467706,0.8014152836783334,0.5642574502674097,208.10000279560006,839.0477344168444,1.1291565434181075,76.4223316842809,206.97084625218196,154.52223442084878,0.9945739715124983,0.7425383582172441,867.9758049008105, 200,  3
1990,1171.678260456688,1027.3391226883039,1049.8289998453272,895.9770051309059,0.8068036732993761,0.5371525118622322,253.9000041482,829.0963658635205,1.591689866548385,73.31794310950778,252.3083142816516,193.62747791410635,0.993731036468911,0.7626131341104158,775.0308084066522, 178,  3
1991,1107.391755526578,979.6095852726978,1003.5829807733516,826.9135163345501,0.7924083315116969,0.5015062875820191,275.8000031709,615.2070428364372,2.6870993399803367,61.52004465639806,273.1129038309197,191.37919088791688,0.9902570728459519,0.6939056877723397,706.4966814417779, 175,  3
1992,1205.9155426268394,1122.355680298931,1136.382931701583,991.1854277545551,0.8668295835451448,0.5824176148184513,222.20000401199997,945.8146545284603,4.363712150864069,77.91143357425011,217.8362918611359,156.38653418386184,0.9803613318088491,0.7038097720980065,904.5193884377936, 212,  4
1993,1118.3169070267195,892.8988754090864,923.2573042434002,771.1777480238583,0.6886383869924858,0.44357483992435903,248.8000037677,604.9416081314405,2.686118648052462,56.76775688449345,246.11388511964748,180.10746920336544,0.9892037033465623,0.7239046080221465,646.7849902894386, 137,  2
1994,1222.4180774519837,1145.9575036921972,1167.1813200516885,998.177190804555,0.8685028354619762,0.5914090708161832,278.50000456000004,987.4916230400311,0.504454333078185,94.07183395789484,276.48613282885776,201.5357023180111,0.9927688628432019,0.7236470341765909,869.4713708633375, 200,  3
1995,1149.7339128778242,994.6762993948563,1013.2054369434496,850.5557601724831,0.7905406500964477,0.5370075066991922,373.4000066227002,623.2298100930559,8.127165918101067,66.13503112772042,361.46079058618426,282.44353534288297,0.9680256673145166,0.7564100973042466,633.2155088086722, 184,  3
1996,1195.3711674468009,1113.8106058196363,1125.1225957799647,940.7620838747265,0.9091383402531442,0.5507736543568175,330.0000042024999,766.0611772915595,17.034382814683987,91.6153208551059,297.95641826186596,214.67085828595322,0.9028982256588978,0.6505177440974317,815.8541875577687, 192,  3
1997,1147.5067015709362,1020.3126736897005,1039.6664679159073,875.5939189640812,0.7924240153779692,0.5263731018720174,296.50000569250005,733.8329960353888,3.098386313427694,61.617147728253265,293.40161937907243,227.35935163653647,0.9895501306781054,0.7668106147435649,726.9110543106283, 179,  3
1998,1047.5279128940863,962.3707030927949,973.5101438837021,775.2955047331276,0.8658189381601933,0.5020041566554012,408.4000064729002,617.6590868603444,4.579730017617414,81.63533498264097,383.95055114335963,279.9587288836989,0.9401335579284255,0.6855012841491613,578.4201519494356, 176,  3
1999,1206.8459895846108,904.9547779384868,938.429396329128,824.6873103649962,0.5933767411141871,0.46746249570482934,210.10000383870005,617.7525079408063,3.2909481765642488,73.2405266876803,195.34377976853605,144.34538010556025,0.929765712515204,0.6870317823334189,709.610998169951, 154,  3
