#  3 - Alfalfa Hay
Year,PMeto_mm,ETact,ETpot,ETbas,Kc,Kcb,PPT,Irrigation,Runoff,DPerc,P_rz,P_eft,P_rz_fraction,P_eft_fraction,NIWR,Season,Cutting
1979,1169.0495071137768,985.4536355342484,1010.3358357715568,864.4298936035218,0.6794907811327634,0.49545579411666735,221.800003946,892.1587280817241,3.650000065525,64.88419926188521,218.150003880475,142.21498184748515,0.9835437330902228,0.6411856596815443,767.3036316537733, 174,  3
1980,1129.8918060092494,925.305932773482,947.1065808038555,826.3593064250124,0.7094705632254265,0.5130954857900604,310.90000754640005,639.018614925465,2.8460272811882943,60.1043918641176,308.05398026521175,242.75968779605859,0.9908458436406967,0.7808288256790348,617.2519525082697, 170,  3
1981,1222.707187125889,1011.971390750703,1038.996443327599,929.3592958109901,0.6532983269202546,0.5222839932262181,204.0000052159,822.9208868072772,0.23714897370639665,70.09232629778276,203.7628562421936,148.85958823521696,0.9988375050605739,0.7297038452409543,808.2085345085095, 173,  3
1982,1036.8848299383394,877.959153450996,897.8815146097951,752.8674655707005,0.781564068398115,0.4944489077129898,394.9000066816001,478.99852372842844,7.48888187726264,44.21918622222661,387.4111248043374,309.1681445327516,0.9810360046833304,0.7829023532583216,490.5480286466584, 159,  2
1983,1042.3896123671177,873.192972503299,889.7505984551708,688.2669394357762,0.7817167156905265,0.405288648252326,479.400006444,515.1426746177713,5.109467326248137,129.85212445042293,405.0611879665331,283.5589723997384,0.844933630625325,0.5914872102382037,477.2403239309354, 125,  2
1984,1060.9576750853616,859.4215205490106,883.9428963632002,743.5665493930444,0.699805279884691,0.45249024543461236,334.40000596659996,473.54444460519557,0.03590051227095122,58.50955042128639,323.20899949356226,248.1294907760175,0.9665340721490434,0.7420140142007078,536.212521055448, 139,  2
1985,1115.3127100042157,890.6015849923303,913.9428170613953,804.3837523210974,0.7186900277215976,0.4720042309678723,204.10000386849993,711.293585580348,2.2056134409113857,59.4692834843536,201.89439042758855,156.58093542369133,0.9891934669323552,0.7671775230566641,688.7071945647416, 153,  2
1986,1189.8954456833778,1032.5358456411032,1046.9245510719254,910.3188415714679,0.6993135298397639,0.5187982653091294,226.40000396999994,764.1499571634841,0.45723260769911633,70.24259209871371,225.94277136230082,143.65556159448832,0.9979804213794992,0.6345210206512363,806.5930742788029, 177,  3
1987,1135.336743726491,967.7574860066809,988.622437475399,888.2701549675435,0.7465192259648874,0.5788600790257642,316.8000062708,725.257617784735,7.357136154209691,96.78487442355699,281.66442256858073,238.17262102066954,0.8890922253575164,0.751807500966651,694.0319759353686, 203,  3
1988,1175.5432264318922,915.4435522365208,950.9503934121178,833.5590502556879,0.6430401669679079,0.4657240912989873,244.40000364189999,679.2505089298905,0.4609273761285982,66.0389543431266,243.9390762657714,179.92968617680447,0.9981140451339602,0.7362098342700568,671.5044759707489, 148,  3
1989,1214.6578061817202,1050.828702396396,1064.5950012095013,965.2436838863903,0.7202257557764249,0.5633334964445192,188.60000282560003,854.21354468161,0.16488648022001615,79.78551386215969,188.43511634538004,145.0439528134689,0.9991257344764068,0.7690559418898432,862.3935860510162, 201,  3
1990,1199.3478242266365,1019.7097432079137,1036.3528240992066,915.7448373517257,0.7356324615304092,0.5336143152730665,260.00000336809995,760.4191571416278,0.550052295875594,72.75978944590479,259.4499510722244,196.47664139076414,0.9978844142740383,0.7556793801752325,760.2597921356895, 178,  3
1991,1119.4186703569053,942.7778187091421,968.9287894760348,824.426675982704,0.6991583609371604,0.49826771672034104,305.2000077363003,701.4417796423339,1.4446140248330235,114.31714360294654,268.077584936739,188.0189336661251,0.8783669008565823,0.6160515363701358,683.2078334134314, 172,  3
1992,1189.6637279021945,1047.6503436110565,1058.6706253977281,955.9737203420001,0.7883323076010814,0.5788474642553234,210.50000268249997,863.2130152641544,0.29248622793108886,108.48344768482825,188.04537029615605,139.4621738467973,0.8933271634195058,0.662528133347105,859.6049733149003, 208,  3
1993,1154.0035152420603,875.3509049036873,919.7437987403216,792.080048630175,0.6251028764769593,0.4428216448995535,221.6000039578,698.5112200348016,0.8250174598985187,121.03281297749442,178.28130685216914,117.58977938419555,0.8045185183576071,0.5306397891878583,705.7576093797995, 137,  2
1994,1220.3024105041347,1070.7206689959035,1086.2572187114235,957.7116464221529,0.7745850954418736,0.5371415419800774,280.30000332049997,802.5218624435929,1.5619846053497723,92.55898471256329,268.80490228061444,209.39485794108097,0.9589900074787305,0.7470383712470213,804.2894487489582, 182,  3
1995,1155.8926202692344,969.8810662207828,990.7607434961491,852.5592585116573,0.72614283885643,0.5286515038734547,333.80000588310014,602.2206029319066,2.034611144636319,71.9855283010606,320.00192673059394,241.22609519729684,0.9586636341841814,0.7226665396817772,649.8791394901895, 176,  3
1996,1205.5333398421053,1067.64877318851,1077.3271436901675,921.8891719097015,0.8280955983453636,0.5273672995319516,274.9000051619,804.2132565064311,1.7852426844469997,70.87170283191256,273.114762477453,199.0815761432116,0.9935058470319211,0.7241963346852766,794.5340107110568, 190,  3
1997,1148.025828557777,982.0055897229793,998.3661031082312,867.7286146511103,0.7624863926521392,0.5143273015557452,309.7000049653,662.2314013709075,2.037890859675643,60.95469274601058,307.6621141056244,248.1924834764448,0.9934197906780663,0.8013964465523765,674.3434756173547, 177,  3
1998,1042.2646459278878,899.893794424482,918.2737783106061,755.1120764830513,0.7801209848262203,0.49337964155482006,400.5000073615002,501.3683570315673,2.3808264701001565,50.13645947197344,398.1191808914,312.39515546029133,0.9940553647282427,0.7800128582227879,501.77461353308223, 159,  3
