#  3 - Alfalfa Hay
Year,PMeto_mm,ETact,ETpot,ETbas,Kc,Kcb,PPT,Irrigation,Runoff,DPerc,P_rz,P_eft,P_rz_fraction,P_eft_fraction,NIWR,Season,Cutting
1979,1158.1036553250099,988.1680375603671,1013.1470407130314,858.363323879377,0.6960951523014307,0.49424356960036514,229.50000417249996,891.775761919628,4.00000005955,64.43753554270253,225.50000411294997,146.4193583501172,0.9825708061576179,0.6379928352422315,762.6680334474175, 174,  3
1980,1119.937178802586,896.3919083266862,917.9815467196906,795.8584145361126,0.7003497781806111,0.4943874698088589,316.6000047922,648.8414460305696,3.540092361020303,63.43227551631324,310.5154729590386,241.56553785576503,0.9807816432689097,0.7629991604526861,585.8764353676477, 169,  3
1981,1210.1261497852856,1002.8369438325213,1030.0514725147134,914.9600471333775,0.6581647268560684,0.5165123607544718,215.00000345689995,774.2756134366412,0.23542891184833803,78.51576118350634,213.67637470520938,153.72150749517792,0.9938435873004258,0.7149837442955844,789.1605691273121, 172,  3
1982,1024.3806229079066,872.5676030225578,892.5413547267625,741.3701596692905,0.7923671339607524,0.49233593578760704,411.80000430370006,485.4155910583117,9.815669982330519,46.85854183245522,401.98433432136954,322.6923344424682,0.9761639876645277,0.7836142085236224,470.58326870118805, 158,  2
1983,1026.3268662679577,863.7168682943837,879.3468296984069,676.6427392766748,0.7916074136616812,0.4029535378506776,492.80000835710007,504.67612823566384,5.1943258459758805,173.21092045873095,373.9791616377862,248.48158276016758,0.7588862729214645,0.5042239824397673,498.85449341842497, 124,  2
1984,1047.1323258993486,852.2512070311808,875.9458459805059,729.986332601018,0.7048188368142017,0.44873171411475576,346.5000055734,471.7605324027745,0.020244462225083824,58.538014533263535,335.1177998181888,254.40769672164652,0.9671509218697543,0.7342213351501798,517.133407212992, 138,  2
1985,1103.6168750325508,877.9301075941048,901.2256126587058,792.5786472016686,0.7294798045992357,0.46779661525775534,215.70000344550002,647.6530124053311,3.83192008005812,58.781736754377405,211.8680833654419,162.06733226344787,0.9822349558699645,0.751355260429547,666.0620242286628, 152,  2
1986,1172.2586731652752,1037.4926212162763,1051.1553639862504,893.4739478769533,0.7170287682619296,0.5155409297932465,232.3000038261999,821.6824731798371,0.4936196505772712,70.17008897080368,231.80638417562267,145.17726129064533,0.9978750768728073,0.6249559143324971,805.6862370406548, 176,  3
1987,1124.4458130414012,951.722563646743,973.0252419008099,872.8461394542112,0.7486811305793669,0.5707108027912344,322.10000601419995,652.9897068264522,8.183053867901542,61.44428788865558,313.9169521462985,269.5523993690151,0.9745946795557009,0.8368593428623896,639.054050748871, 202,  3
1988,1159.7064932773362,904.0736388350922,937.8704072229599,815.6714629316093,0.647327224009573,0.4603116865960744,252.80000382710008,691.4610208834193,0.8065201034828685,91.88860508812672,229.25098072383244,163.98699336964035,0.9068472201472997,0.6486827171165611,674.8226581112596, 147,  2
1989,1196.4541767534195,1026.4642248724838,1042.4176276730295,938.6090359013482,0.7098371941543989,0.5532322345164074,197.50000333790004,764.6991860189991,0.15010500433910415,76.46991860189992,197.34989833356093,153.03920782108136,0.9992399746744192,0.7748820518207723,829.1143265389233, 199,  3
