#  3 - Alfalfa Hay
Year,PMeto_mm,ETact,ETpot,ETbas,Kc,Kcb,PPT,Irrigation,Runoff,DPerc,P_rz,P_eft,P_rz_fraction,P_eft_fraction,NIWR,Season,Cutting
1979,1158.6930290143869,993.4954337402615,1017.6542900694923,858.0957449102665,0.7025245975882807,0.4943708262685918,235.60000368959993,891.2787531625122,5.7250001430249995,64.23099752688528,229.87500354657496,144.07752388282168,0.9757003393320504,0.611534472098914,763.6204301936868, 174,  3
1980,1127.271210924901,925.5942206122139,947.5342269810345,822.3888226180188,0.7128674644946936,0.5078882483881649,318.2000041907001,639.8735318416806,2.258413117742313,60.058835264756254,315.94159107295775,243.55019785930492,0.9929025358642395,0.7653997317779515,609.6526295392562, 169,  3
1981,1210.521581979527,998.7228184242942,1027.483630757243,908.6760779566158,0.6560928214473556,0.5119295023028285,216.00000405369994,749.2473267802542,0.3082510190249945,69.89216082157465,215.69175303467495,149.63375220094505,0.9985729119757407,0.6927488397812459,783.0310653896194, 171,  3
1982,1027.3568325498693,873.9033118326615,894.0924423886828,742.8070326784899,0.7901719356010083,0.4931450251587231,402.30000731340016,622.4530663269275,10.516555947183205,131.21775740039737,339.0319656988958,256.50870157994075,0.8427341773195216,0.6376055106062056,563.0518630332672, 158,  2
1983,1025.5020342523571,875.7781524528622,891.7009617294206,684.3451226341094,0.8010131609022682,0.40459775189172975,485.1000105744001,505.01916617894636,3.9350859706166155,157.1289032926376,383.5065695813092,248.6360672628165,0.7905721732044583,0.5125459943165329,501.240214523821, 125,  2
1984,1043.568152327834,860.9601623161673,883.472441558692,730.1283058478939,0.7168070907459492,0.4491613146450677,340.00000560350026,478.10281551154344,0.09459505587695834,57.04717205959631,330.66852003918126,243.32263649002712,0.972554454674918,0.715654801411339,530.2916422769855, 138,  2
1985,1107.0900174940002,889.895034950391,913.6618135021881,794.6116987176094,0.7369645992142542,0.4678894350078952,219.20000371329996,728.960252173963,3.6816089617729775,73.18239957088954,205.75584602688133,154.21102243545732,0.9386671648783238,0.7035174262002103,684.1391889235094, 153,  3
1986,1163.652951180013,1014.9579839392505,1030.4683403080803,885.8298180092239,0.7056935134728296,0.5162687791305128,226.90000426779994,785.4025297500675,0.5309352882594901,82.81196792020151,222.09735403434576,139.12973475783082,0.9788336265177596,0.6131764307664895,792.8606299049044, 176,  3
1987,1128.9278348049163,964.5019366497356,984.7928601499668,882.5099668336534,0.7609914434690292,0.5760800830323151,315.30000630060016,706.5381352268992,6.10214057933668,117.33330678781576,282.21085568361207,239.88657942536688,0.8950550270987258,0.7608200908079407,701.9835641935985, 203,  3
1988,1157.9828732370204,889.1155250161202,922.7687949508893,806.268239505171,0.6366104924165505,0.4535542998455201,247.0000053351999,681.3054363906349,0.6537425481505287,103.75911962120907,210.7176868049038,147.59532192406328,0.8531080253174168,0.5975518977166173,678.3978382112158, 145,  2
1989,1184.0255553341715,985.3334693522876,1006.2179636871629,895.0608622746214,0.6850012752026268,0.5186551727242334,198.8000028728,752.6871182094774,0.18934203679623013,75.26871182094774,198.61066083600377,148.32129606689512,0.9990475752813878,0.7460829674222734,786.7228085162841, 178,  3
1990,1171.2269734089302,986.7429152099381,1003.4733452912624,879.4391548075045,0.7283975411062481,0.5224929568886452,251.50000470869986,751.3382459301573,0.5064015385443832,69.1096778027197,250.99360317015547,186.29196008709266,0.9979864750335455,0.7407234854840878,735.7493120397821, 176,  3
1991,1101.930265348257,922.8666697758395,947.7009289861851,800.611945821853,0.6927579115097727,0.4898515912926954,299.20000314760006,591.969981302436,1.634973095256643,59.18756296660911,297.56503005234345,219.3838491867515,0.9945355177872439,0.7332347823490029,625.3016397234959, 166,  3
1992,1174.0385648062957,991.3373848075358,1008.3761409728655,887.5044548223444,0.7443920187590344,0.5112580779423247,209.60000419639994,819.2545400932572,0.5934775770144021,70.38567808189171,209.00652661938557,150.19286362688538,0.9971685230671166,0.7165689915070387,782.3308581881502, 179,  3
